time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
8.55s,9.50,569.11,0.00,559.61,1,9.34,120.00,0.06,120.00,9.35,9.50
7.70s,9.34,578.45,0.00,569.11,1,8.82,120.00,0.06,120.00,8.83,9.34
7.77s,4.41,582.86,0.00,578.45,1,8.99,120.00,0.04,120.00,4.41,4.41
4.59s,9.99,592.85,0.00,582.86,1,9.00,120.00,0.06,120.00,9.99,9.99
7.94s,17.99,610.84,0.00,592.85,1,6.70,120.00,0.06,120.00,6.68,17.99
9.39s,6.70,617.54,0.00,610.84,1,9.36,120.00,0.04,120.00,6.70,6.70
4.43s,18.71,636.25,0.00,617.54,1,9.33,120.00,0.06,120.00,11.99,18.71
7.51s,9.33,645.58,0.00,636.29,0,10.87,120.00,0.06,120.00,8.35,9.29
7.48s,11.87,657.45,0.00,645.60,0,10.89,120.00,0.06,120.00,11.85,11.85
8.76s,11.89,669.34,0.00,657.46,0,10.00,120.00,0.06,120.00,9.01,11.88
5.48s,5.00,674.34,0.00,669.34,0,10.40,120.00,0.06,120.00,4.02,4.99
8.43s,11.40,685.74,0.00,674.34,0,8.29,120.00,0.06,120.00,11.40,11.40
9.13s,8.29,694.03,0.00,685.74,0,8.03,120.00,0.06,120.00,7.71,8.29
7.28s,9.03,703.07,0.00,694.03,1,7.33,120.00,0.06,120.00,7.34,9.03
7.24s,7.33,710.40,0.00,703.07,1,7.19,120.00,0.06,120.00,7.21,7.33
8.36s,7.19,717.58,0.00,710.40,1,7.26,120.00,0.05,120.00,7.19,7.19
6.61s,8.26,725.84,0.00,717.59,0,6.39,120.00,0.06,120.00,5.58,8.25
10.90s,6.39,732.23,0.00,725.84,1,6.38,120.00,0.06,120.00,6.39,6.39
7.07s,7.38,739.61,0.00,732.23,1,5.84,120.00,0.06,120.00,5.89,7.38
8.47s,5.84,745.45,0.00,739.61,1,5.86,120.00,0.06,120.00,5.84,5.84
6.68s,6.86,752.31,0.00,745.45,0,5.60,120.00,0.06,120.00,5.36,6.86
6.14s,6.60,758.91,0.00,752.31,1,5.31,120.00,0.06,120.00,5.31,6.60
8.91s,10.61,769.52,0.00,758.91,1,5.38,120.00,0.06,120.00,5.35,10.61
7.92s,2.69,772.21,0.00,769.52,1,6.03,120.00,0.06,120.00,2.69,2.69
4.33s,12.06,784.26,0.00,772.21,0,6.03,120.00,0.06,120.00,9.37,12.06
13.28s,7.03,791.29,0.00,784.26,1,6.40,120.00,0.06,120.00,6.43,7.03
7.95s,3.20,794.49,0.00,791.29,1,6.48,120.00,0.05,120.00,3.20,3.20
4.12s,12.96,807.45,0.00,794.49,1,6.37,120.00,0.06,120.00,9.57,12.96
9.36s,7.37,814.82,0.00,807.45,1,7.05,120.00,0.06,120.00,7.08,7.37
8.08s,8.05,822.87,0.00,814.82,1,6.79,120.00,0.06,120.00,6.79,8.05
8.60s,13.59,836.45,0.00,822.87,1,7.11,120.00,0.02,120.00,7.11,13.59
8.22s,8.11,844.56,0.00,836.45,1,8.39,120.00,0.04,120.00,8.11,8.11
7.46s,9.39,853.95,0.00,844.56,1,7.48,120.00,0.06,120.00,7.45,9.39
