time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
6.14s,6.00,6.00,0.00,0.00,0,5.00,120.00,0.06,120.00,5.02,6.00
6.81s,6.00,12.00,0.00,6.00,1,5.00,120.00,0.06,120.00,5.02,6.00
4.97s,6.00,18.00,0.00,12.00,1,5.02,120.00,0.06,120.00,5.02,6.00
4.82s,6.02,24.02,0.00,18.04,0,5.03,120.00,0.06,120.00,4.01,5.97
6.42s,6.03,30.04,0.00,24.04,0,5.02,120.00,0.06,120.00,4.04,6.01
7.61s,6.02,36.07,0.00,30.05,0,5.02,120.00,0.06,120.00,4.04,6.01
6.48s,6.02,42.09,0.00,36.07,0,5.04,120.00,0.06,120.00,4.04,6.02
6.85s,6.04,48.12,0.00,42.09,0,5.04,120.00,0.06,120.00,4.01,6.03
6.43s,6.04,54.16,0.00,48.12,0,5.04,120.00,0.06,120.00,4.01,6.04
6.24s,6.04,60.21,0.00,54.16,1,5.00,120.00,0.03,120.00,5.01,6.04
5.93s,6.00,66.21,0.00,60.21,1,5.00,120.00,0.06,120.00,5.02,6.00
6.44s,6.00,72.21,0.00,66.21,1,5.02,120.00,0.06,120.00,5.02,6.00
6.33s,6.02,78.23,0.00,72.21,1,5.02,120.00,0.06,120.00,5.03,6.02
6.45s,6.02,84.24,0.00,78.23,1,5.00,120.00,0.04,120.00,5.03,6.02
6.31s,10.00,94.24,0.00,84.24,1,5.00,120.00,0.06,120.00,5.00,10.00
7.39s,5.00,99.24,0.00,94.25,0,5.62,120.00,0.06,120.00,4.01,4.99
7.87s,11.24,110.48,0.00,99.25,0,5.53,120.00,0.06,120.00,6.05,11.23
9.53s,2.77,113.24,0.00,110.48,0,6.56,120.00,0.06,120.00,1.77,2.76
7.78s,13.12,126.37,0.00,113.25,0,6.58,120.00,0.06,120.00,10.36,13.12
14.65s,6.58,132.95,0.00,126.37,0,6.82,120.00,0.06,120.00,5.61,6.58
8.72s,7.82,140.77,0.00,132.95,0,6.82,120.00,0.06,120.00,7.02,7.82
8.89s,6.82,147.59,0.00,140.77,0,6.92,120.00,0.04,120.00,6.23,6.82
10.84s,6.92,154.51,0.00,147.59,0,6.90,120.00,0.06,120.00,6.92,6.92
8.72s,13.81,168.32,0.00,154.51,0,5.68,120.00,0.06,120.00,4.64,13.81
8.95s,2.84,171.16,0.00,168.32,0,7.09,120.00,0.06,120.00,1.86,2.84
6.90s,14.18,185.34,0.00,171.16,1,6.92,120.00,0.06,120.00,11.02,14.18
8.60s,3.46,188.80,0.00,185.34,1,7.71,120.00,0.06,120.00,3.46,3.46
4.29s,15.42,204.22,0.00,188.80,0,7.74,120.00,0.06,120.00,11.99,15.42
11.52s,3.87,208.09,0.00,204.22,0,8.28,120.00,0.06,120.00,2.90,3.87
7.96s,16.56,224.64,0.00,208.09,1,8.30,120.00,0.06,120.00,12.68,16.56
11.27s,4.15,228.79,0.00,224.64,1,8.98,120.00,0.06,120.00,4.15,4.15
4.47s,17.96,246.75,0.00,228.79,0,8.96,120.00,0.06,120.00,13.79,17.96
10.06s,4.48,251.24,0.00,246.75,0,9.67,120.00,0.06,120.00,3.50,4.48
7.51s,19.34,270.58,0.00,251.24,1,9.68,120.00,0.02,120.00,14.89,19.34
11.23s,4.84,275.42,0.00,270.58,1,10.45,120.00,0.06,120.00,4.84,4.84
4.58s,20.90,296.32,0.00,275.42,1,10.48,120.00,0.06,120.00,16.09,20.90
12.75s,10.48,306.80,0.00,295.42,1,11.06,19.98,0.02,120.00,10.50,11.38
13.38s,19.98,326.79,0.00,306.80,1,11.14,22.06,0.90,120.00,11.75,19.98
8.08s,11.14,337.93,0.00,326.79,1,12.84,24.82,0.90,120.00,11.14,11.14
4.41s,25.69,363.62,0.00,337.93,1,12.87,120.00,0.06,120.00,14.55,25.69
12.68s,12.87,376.49,0.00,356.80,1,12.52,20.43,1.15,120.00,12.53,19.68
7.12s,20.43,396.92,0.00,376.49,1,13.94,24.99,6.83,120.00,15.00,20.43
5.05s,24.99,421.91,0.00,393.62,1,13.93,22.27,7.15,120.00,13.93,28.29
11.97s,13.93,435.84,0.00,413.62,1,15.16,25.19,3.34,120.00,13.93,22.22
7.34s,16.16,452.00,4.97,426.94,1,14.20,19.99,7.56,21.87,18.41,20.09
4.02s,28.41,480.41,4.97,446.94,1,15.00,23.46,6.84,21.85,15.04,28.50
11.38s,7.50,487.91,4.97,466.96,1,14.71,24.43,3.94,120.00,7.56,15.99
9.37s,24.43,512.34,9.54,478.40,0,13.36,23.80,3.92,21.65,19.16,24.40
7.33s,26.72,539.07,9.54,498.38,1,14.29,23.79,3.96,23.92,15.39,31.15
14.89s,7.14,546.21,9.54,518.38,1,14.33,23.81,4.45,120.00,7.15,18.30
14.81s,15.33,561.54,16.26,529.98,0,13.34,19.99,4.48,21.54,15.29,15.29
3.81s,6.67,568.21,16.26,545.30,0,13.41,39.94,4.43,24.41,6.64,6.64
8.19s,6.71,574.91,16.26,551.96,0,11.76,120.00,0.06,120.00,6.69,6.69
