time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
6.42s,6.00,6.00,0.00,6.00,0,6.00,120.00,0.06,120.00,0.00,0.00
5.19s,7.00,13.00,0.00,13.00,0,7.00,120.00,0.06,120.00,0.00,0.00
3.92s,8.00,21.00,0.00,21.00,0,8.00,120.00,0.06,120.00,0.00,0.00
3.84s,9.00,30.00,0.00,30.00,0,9.00,120.00,0.06,120.00,0.00,0.00
3.61s,10.00,40.00,0.00,40.00,0,10.00,120.00,0.06,120.00,0.00,0.00
3.59s,11.00,51.00,0.00,51.00,0,11.00,120.00,0.06,120.00,0.00,0.00
3.69s,12.00,63.00,0.00,63.00,0,12.00,120.00,0.06,120.00,0.00,0.00
3.87s,13.00,76.00,0.00,76.00,0,13.00,120.00,0.06,120.00,0.00,0.00
3.85s,14.00,90.00,0.00,90.00,0,14.00,120.00,0.06,120.00,0.00,0.00
3.78s,28.00,118.00,0.00,110.00,0,20.02,120.00,0.06,120.00,0.06,8.00
5.63s,20.02,138.02,0.00,130.00,0,20.02,120.00,0.03,120.00,8.02,8.02
4.16s,21.02,159.03,0.00,150.00,0,20.04,120.00,0.06,120.00,8.04,9.03
6.11s,20.04,179.07,0.00,170.00,0,20.02,120.00,0.02,120.00,9.04,9.07
4.84s,21.02,200.09,0.00,190.00,0,18.02,120.00,0.06,120.00,7.10,10.09
6.35s,19.02,219.11,0.09,210.00,0,18.01,20.45,0.55,9.98,8.00,9.02
16.73s,20.45,239.56,0.09,230.00,0,17.77,20.92,0.06,9.96,6.77,9.47
6.80s,35.54,275.10,15.10,250.00,0,17.77,20.03,0.93,10.00,4.49,10.00
15.88s,17.77,292.87,15.10,270.00,0,17.53,20.48,0.06,9.96,7.53,7.77
7.14s,35.06,327.93,27.93,290.00,0,17.76,22.23,0.00,9.96,5.51,10.00
4.64s,8.88,336.81,27.93,308.88,0,20.03,22.21,0.02,9.98,0.00,0.00
5.26s,40.07,376.88,27.93,328.88,0,20.03,24.99,0.01,9.97,2.26,9.97
7.63s,20.03,396.91,38.00,348.88,0,20.02,29.97,0.03,9.98,10.02,10.03
6.23s,10.01,406.92,38.03,368.88,0,20.00,20.00,10.00,10.00,0.01,0.01
3.31s,21.00,427.92,38.03,388.88,0,20.00,20.00,10.00,10.00,1.01,1.01
5.38s,20.00,447.92,38.03,408.88,0,20.00,29.96,0.04,10.00,1.01,1.01
5.87s,20.00,467.92,38.03,428.88,0,20.01,120.00,0.06,120.00,1.01,1.01
5.51s,20.01,487.92,38.03,448.88,0,20.00,120.00,0.06,120.00,1.01,1.01
7.35s,21.00,508.92,38.03,468.88,0,19.77,120.00,0.06,120.00,0.79,2.01
8.84s,20.77,529.70,38.03,488.88,0,19.76,120.00,0.06,120.00,1.79,2.78
9.31s,20.76,550.46,38.03,508.88,0,19.77,120.00,0.06,120.00,2.55,3.55
9.75s,20.77,571.23,38.03,528.88,0,19.75,120.00,0.06,120.00,3.31,4.32
9.42s,20.75,591.98,38.03,548.88,0,19.50,120.00,0.06,120.00,3.84,5.07
10.73s,20.50,612.48,38.03,568.88,0,19.33,120.00,0.06,120.00,4.39,5.57
9.58s,19.33,631.81,38.03,588.88,0,19.15,120.00,0.06,120.00,4.71,4.90
8.23s,20.15,651.96,38.03,608.88,0,18.93,120.00,0.06,120.00,3.83,5.05
8.42s,19.93,671.89,38.03,628.88,0,18.74,120.00,0.06,120.00,3.81,4.97
8.02s,19.74,691.62,38.03,648.88,0,18.62,120.00,0.06,120.00,3.61,4.71
9.70s,18.62,710.24,38.03,668.88,0,18.81,120.00,0.06,120.00,3.33,3.33
5.74s,19.81,730.05,38.03,688.88,0,18.75,120.00,0.06,120.00,2.21,3.14
8.69s,19.75,749.80,38.03,708.88,0,18.79,120.00,0.06,120.00,1.90,2.89
9.08s,19.79,769.59,38.03,728.88,0,18.91,120.00,0.06,120.00,1.80,2.68
7.38s,19.91,789.50,38.03,748.88,0,19.18,120.00,0.06,120.00,1.86,2.59
8.06s,20.18,809.69,38.03,768.88,0,19.23,120.00,0.06,120.00,1.82,2.77
9.70s,20.23,829.91,38.03,788.88,0,19.31,120.00,0.06,120.00,2.06,3.00
9.04s,20.31,850.23,38.03,808.88,0,19.36,120.00,0.06,120.00,2.38,3.31
9.53s,19.36,869.59,38.03,828.88,0,19.36,120.00,0.06,120.00,2.68,2.68
7.14s,20.36,889.94,38.03,848.88,0,19.34,120.00,0.06,120.00,1.99,3.03
8.33s,20.34,910.28,38.03,868.88,0,19.27,120.00,0.06,120.00,2.32,3.37
9.35s,19.27,929.56,38.03,888.88,0,19.18,120.00,0.06,120.00,2.56,2.64
8.21s,20.18,949.74,38.03,908.88,0,19.34,120.00,0.06,120.00,2.08,2.83
9.54s,20.34,970.08,38.03,928.88,0,19.25,120.00,0.06,120.00,2.08,3.16
9.40s,20.25,990.33,38.03,948.88,0,19.16,120.00,0.06,120.00,2.35,3.41
10.14s,19.16,1009.48,38.03,968.88,0,19.38,120.00,0.06,120.00,2.57,2.57
6.43s,20.38,1029.86,38.03,988.88,0,19.33,120.00,0.06,120.00,2.03,2.95
7.74s,20.33,1050.19,38.03,1008.88,0,19.24,120.00,0.06,120.00,2.21,3.28
9.64s,20.24,1070.44,38.03,1028.88,0,19.16,120.00,0.06,120.00,2.48,3.52
7.91s,20.16,1090.60,38.03,1048.88,0,19.37,120.00,0.06,120.00,2.88,3.69
9.12s,20.37,1110.97,38.03,1068.88,0,19.29,120.00,0.06,120.00,2.95,4.06
9.04s,20.29,1131.26,38.03,1088.88,0,19.19,120.00,0.06,120.00,3.26,4.35
11.00s,19.19,1150.45,38.03,1108.88,0,19.15,120.00,0.06,120.00,3.48,3.54
9.37s,20.15,1170.60,38.03,1128.88,0,19.09,120.00,0.06,120.00,2.65,3.69
8.37s,20.09,1190.69,38.03,1148.88,0,19.01,120.00,0.06,120.00,2.72,3.78
11.56s,19.01,1209.70,38.03,1168.88,0,18.92,120.00,0.06,120.00,2.70,2.79
8.10s,19.92,1229.62,38.03,1188.88,0,19.14,120.00,0.06,120.00,2.03,2.71
10.37s,20.14,1249.76,38.03,1208.88,0,19.08,120.00,0.06,120.00,1.83,2.85
9.58s,20.08,1269.84,38.03,1228.88,0,19.08,120.00,0.06,120.00,1.92,2.93
8.02s,20.08,1289.92,38.03,1248.88,0,19.34,120.00,0.06,120.00,2.25,3.00
10.09s,20.34,1310.26,38.03,1268.88,0,19.36,120.00,0.06,120.00,2.35,3.34
8.85s,20.36,1330.61,38.03,1288.88,0,19.30,120.00,0.06,120.00,2.66,3.70
8.67s,20.30,1350.91,38.03,1308.88,0,19.29,120.00,0.06,120.00,3.00,4.00
8.67s,20.29,1371.21,38.03,1328.88,0,19.25,120.00,0.06,120.00,3.25,4.29
9.39s,20.25,1391.46,38.03,1348.88,0,19.17,120.00,0.06,120.00,3.48,4.54
9.49s,19.17,1410.63,38.03,1368.88,0,19.08,120.00,0.06,120.00,3.66,3.71
8.01s,20.08,1430.71,38.03,1388.88,0,19.02,120.00,0.06,120.00,2.73,3.80
7.66s,20.02,1450.73,38.03,1408.88,0,18.96,120.00,0.06,120.00,2.75,3.82
8.15s,19.96,1470.69,38.03,1428.88,0,18.87,120.00,0.06,120.00,2.72,3.78
9.12s,18.87,1489.56,38.03,1448.88,0,19.10,120.00,0.06,120.00,2.65,2.65
5.93s,20.10,1509.66,38.03,1468.88,0,19.08,120.00,0.06,120.00,1.89,2.75
9.20s,20.08,1529.74,38.03,1488.88,0,19.06,120.00,0.06,120.00,1.81,2.83
9.47s,19.06,1548.80,38.03,1508.88,0,19.15,120.00,0.06,120.00,1.88,1.88
6.45s,20.15,1568.95,38.03,1528.88,0,19.38,120.00,0.06,120.00,1.53,2.04
9.60s,20.38,1589.33,38.03,1548.88,0,19.33,120.00,0.06,120.00,1.36,2.41
8.30s,20.33,1609.65,38.03,1568.88,0,19.38,120.00,0.06,120.00,1.80,2.74
8.42s,20.38,1630.03,38.03,1588.88,0,19.54,120.00,0.06,120.00,2.29,3.11
8.38s,20.54,1650.57,38.03,1608.88,0,19.51,120.00,0.06,120.00,2.63,3.65
9.07s,20.51,1671.08,38.03,1628.88,0,19.41,120.00,0.06,120.00,3.06,4.17
8.38s,20.41,1691.49,38.03,1648.88,0,19.34,120.00,0.06,120.00,3.51,4.58
9.49s,19.34,1710.83,38.03,1668.88,0,19.24,120.00,0.06,120.00,3.86,3.92
8.94s,20.24,1731.07,38.03,1688.88,0,19.11,120.00,0.06,120.00,3.02,4.16
7.53s,20.11,1751.18,38.03,1708.88,0,18.99,120.00,0.06,120.00,3.13,4.27
8.10s,19.99,1771.17,38.03,1728.88,0,18.89,120.00,0.06,120.00,3.12,4.25
9.05s,19.89,1791.05,38.03,1748.88,0,19.03,120.00,0.06,120.00,3.30,4.14
10.00s,20.03,1811.09,38.03,1768.88,0,18.99,120.00,0.06,120.00,3.13,4.17
7.31s,19.99,1831.08,38.03,1788.88,0,18.94,120.00,0.06,120.00,3.12,4.16
