time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
175.91ms,12.06,12.06,0.00,0.00,1,5.00,1000.00,5.00,1000.00,0.00,7.06,12.06,12.06
158.04ms,7.06,19.12,0.00,12.06,1,6.03,1000.00,5.00,1000.00,0.00,7.06,7.06,7.06
214.66ms,8.09,27.22,0.00,19.12,1,6.38,1000.00,5.00,1000.00,0.00,8.09,8.09,8.09
194.28ms,8.44,35.66,0.00,27.22,1,6.80,1000.00,5.00,1000.00,0.00,8.44,8.44,8.44
211.58ms,8.87,44.52,0.00,35.66,1,7.13,1000.00,5.00,1000.00,0.00,8.87,8.87,8.87
182.45ms,7.96,52.48,0.00,44.52,1,6.49,1000.00,5.00,1000.00,0.00,7.96,7.96,7.96
251.56ms,8.41,60.90,0.00,52.48,1,6.67,1000.00,5.00,1000.00,0.00,8.41,8.41,8.41
240.30ms,8.38,69.28,0.00,60.90,1,6.74,1000.00,5.00,1000.00,0.00,8.38,8.38,8.38
211.07ms,8.37,77.65,0.00,69.28,1,6.72,1000.00,5.00,1000.00,0.00,8.37,8.37,8.37
207.87ms,8.25,85.90,0.00,77.65,1,6.62,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
230.48ms,8.35,94.25,0.00,85.90,1,6.68,1000.00,5.00,1000.00,0.00,8.35,8.35,8.35
214.35ms,8.31,102.57,0.00,94.25,1,6.67,1000.00,5.00,1000.00,0.00,8.31,8.31,8.31
219.91ms,8.31,110.87,0.00,102.57,1,6.66,1000.00,5.00,1000.00,0.00,8.31,8.31,8.31
219.52ms,8.29,119.17,0.00,110.87,1,6.65,1000.00,5.00,1000.00,0.00,8.29,8.29,8.29
232.47ms,8.31,127.47,0.00,119.17,1,6.65,1000.00,5.00,1000.00,0.00,8.31,8.31,8.31
214.05ms,8.29,135.76,0.00,127.47,1,6.64,1000.00,5.00,1000.00,0.00,8.29,8.29,8.29
210.18ms,8.29,144.05,0.00,135.76,1,6.64,1000.00,5.00,1000.00,0.00,8.29,8.29,8.29
213.89ms,8.29,152.34,0.00,144.05,1,6.64,1000.00,5.00,1000.00,0.00,8.29,8.29,8.29
208.02ms,8.28,160.62,0.00,152.34,1,6.63,1000.00,5.00,1000.00,0.00,8.28,8.28,8.28
213.95ms,8.28,168.90,0.00,160.62,1,6.63,1000.00,5.00,1000.00,0.00,8.28,8.28,8.28
206.25ms,8.28,177.18,0.00,168.90,1,6.63,1000.00,5.00,1000.00,0.00,8.28,8.28,8.28
219.89ms,8.28,185.45,0.00,177.18,1,6.63,1000.00,5.00,1000.00,0.00,8.28,8.28,8.28
216.86ms,8.27,193.73,0.00,185.45,1,6.62,1000.00,5.00,1000.00,0.00,8.27,8.27,8.27
206.93ms,8.27,202.00,0.00,193.73,1,6.62,1000.00,5.00,1000.00,0.00,8.27,8.27,8.27
214.48ms,8.27,210.27,0.00,202.00,1,6.62,1000.00,5.00,1000.00,0.00,8.27,8.27,8.27
217.61ms,8.27,218.54,0.00,210.27,1,6.62,1000.00,5.00,1000.00,0.00,8.27,8.27,8.27
215.49ms,8.27,226.80,0.00,218.54,1,6.62,1000.00,5.00,1000.00,0.00,8.27,8.27,8.27
214.24ms,8.26,235.07,0.00,226.80,1,6.62,1000.00,5.00,1000.00,0.00,8.26,8.26,8.26
218.41ms,8.26,243.33,0.00,235.07,1,6.61,1000.00,5.00,1000.00,0.00,8.26,8.26,8.26
219.74ms,8.26,251.59,0.00,243.33,1,6.61,1000.00,5.00,1000.00,0.00,8.26,8.26,8.26
216.05ms,8.26,259.85,0.00,251.59,1,6.61,1000.00,5.00,1000.00,0.00,8.26,8.26,8.26
215.72ms,8.26,268.12,0.00,259.85,1,6.61,1000.00,5.00,1000.00,0.00,8.26,8.26,8.26
215.94ms,8.26,276.38,0.00,268.12,1,6.61,1000.00,5.00,1000.00,0.00,8.26,8.26,8.26
214.87ms,8.26,284.63,0.00,276.38,1,6.61,1000.00,5.00,1000.00,0.00,8.26,8.26,8.26
223.23ms,8.26,292.89,0.00,284.63,1,6.61,1000.00,5.00,1000.00,0.00,8.26,8.26,8.26
215.14ms,8.26,301.15,0.00,292.89,1,6.61,1000.00,5.00,1000.00,0.00,8.26,8.26,8.26
200.72ms,8.26,309.41,0.00,301.15,1,6.61,1000.00,5.00,1000.00,0.00,8.26,8.26,8.26
223.75ms,8.26,317.66,0.00,309.41,1,6.61,1000.00,5.00,1000.00,0.00,8.26,8.26,8.26
212.62ms,8.26,325.92,0.00,317.66,1,6.61,1000.00,5.00,1000.00,0.00,8.26,8.26,8.26
229.14ms,8.26,334.18,0.00,325.92,1,6.61,1000.00,5.00,1000.00,0.00,8.26,8.26,8.26
219.61ms,8.25,342.43,0.00,334.18,1,6.61,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
233.15ms,8.25,350.69,0.00,342.43,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
235.08ms,8.25,358.94,0.00,350.69,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
252.12ms,8.25,367.19,0.00,358.94,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
227.62ms,8.25,375.45,0.00,367.19,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
233.91ms,8.25,383.70,0.00,375.45,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
238.87ms,8.25,391.96,0.00,383.70,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
223.78ms,8.25,400.21,0.00,391.96,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
232.06ms,8.25,408.46,0.00,400.21,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
230.45ms,8.25,416.71,0.00,408.46,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
230.98ms,8.25,424.97,0.00,416.71,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
229.59ms,8.25,433.22,0.00,424.97,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
228.88ms,8.25,441.47,0.00,433.22,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
227.60ms,8.25,449.73,0.00,441.47,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
229.01ms,8.25,457.98,0.00,449.73,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
229.26ms,8.25,466.23,0.00,457.98,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
229.94ms,8.25,474.49,0.00,466.23,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
230.93ms,8.25,482.74,0.00,474.49,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
234.62ms,8.25,490.99,0.00,482.74,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
237.59ms,8.25,499.24,0.00,490.99,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
238.64ms,8.25,507.50,0.00,499.24,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
238.94ms,8.25,515.75,0.00,507.50,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
232.17ms,8.25,524.00,0.00,515.75,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
223.68ms,8.25,532.26,0.00,524.00,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
219.79ms,8.25,540.51,0.00,532.26,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
217.89ms,8.25,548.76,0.00,540.51,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
218.96ms,8.25,557.01,0.00,548.76,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
220.56ms,8.25,565.27,0.00,557.01,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
223.04ms,8.25,573.52,0.00,565.27,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
223.40ms,8.25,581.77,0.00,573.52,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
224.26ms,8.25,590.03,0.00,581.77,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
225.21ms,8.25,598.28,0.00,590.03,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
224.52ms,8.25,606.53,0.00,598.28,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
224.61ms,8.25,614.79,0.00,606.53,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
224.25ms,8.25,623.04,0.00,614.79,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
226.57ms,8.25,631.29,0.00,623.04,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
226.80ms,8.25,639.54,0.00,631.29,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
229.27ms,8.25,647.80,0.00,639.54,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
230.30ms,8.25,656.05,0.00,647.80,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
227.89ms,8.25,664.30,0.00,656.05,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
226.40ms,8.25,672.56,0.00,664.30,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
226.85ms,8.25,680.81,0.00,672.56,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
228.28ms,8.25,689.06,0.00,680.81,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
227.12ms,8.25,697.31,0.00,689.06,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
226.12ms,8.25,705.57,0.00,697.31,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
226.08ms,8.25,713.82,0.00,705.57,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
289.78ms,8.25,722.07,0.00,713.82,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
224.81ms,8.25,730.33,0.00,722.07,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
225.32ms,8.25,738.58,0.00,730.33,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
226.92ms,8.25,746.83,0.00,738.58,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
228.68ms,8.25,755.08,0.00,746.83,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
229.07ms,8.25,763.34,0.00,755.08,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
230.52ms,8.25,771.59,0.00,763.34,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
229.37ms,8.25,779.84,0.00,771.59,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
227.47ms,8.25,788.10,0.00,779.84,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
225.05ms,8.25,796.35,0.00,788.10,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
224.64ms,8.25,804.60,0.00,796.35,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
226.16ms,8.25,812.86,0.00,804.60,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
227.12ms,8.25,821.11,0.00,812.86,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
226.91ms,8.25,829.36,0.00,821.11,1,6.60,1000.00,5.00,1000.00,0.00,8.25,8.25,8.25
