time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
4.05s,12.06,12.06,0.00,0.00,1,5.00,1000.00,5.00,1000.00,0.00,7.06,12.06,12.06
2.25s,1.00,13.06,0.00,12.06,1,6.03,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.43s,5.03,18.09,0.00,13.06,1,6.03,1000.00,5.00,1000.00,0.00,0.00,5.03,5.03
5.13s,14.12,32.22,0.00,18.09,1,6.03,1000.00,5.00,1000.00,0.00,8.09,14.12,14.12
2.41s,1.00,33.22,0.00,32.22,1,7.06,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.64s,6.06,39.28,0.00,33.22,1,7.06,1000.00,5.00,1000.00,0.00,0.00,6.06,6.06
5.09s,16.19,55.47,0.00,39.28,1,7.06,1000.00,5.00,1000.00,0.00,9.12,16.19,16.19
2.49s,1.00,56.47,0.00,55.47,1,8.09,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.81s,7.09,63.56,0.00,56.47,1,8.09,1000.00,5.00,1000.00,0.00,0.00,7.09,7.09
5.23s,18.25,81.81,0.00,63.56,1,8.09,1000.00,5.00,1000.00,0.00,10.16,18.25,18.25
2.51s,1.00,82.81,0.00,81.81,1,9.12,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
4.03s,8.12,90.94,0.00,82.81,1,9.12,1000.00,5.00,1000.00,0.00,0.00,8.12,8.12
5.45s,20.31,111.25,0.00,90.94,1,9.12,1000.00,5.00,1000.00,0.00,11.19,20.31,20.31
2.74s,1.00,112.25,0.00,111.25,1,10.16,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
4.21s,9.16,121.41,0.00,112.25,1,10.16,1000.00,5.00,1000.00,0.00,0.00,9.16,9.16
5.49s,22.38,143.78,0.00,121.41,1,10.16,1000.00,5.00,1000.00,0.00,12.22,22.38,22.38
2.77s,1.00,144.78,0.00,143.78,1,11.19,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
4.11s,10.19,154.97,0.00,144.78,1,11.19,1000.00,5.00,1000.00,0.00,0.00,10.19,10.19
5.34s,24.44,179.41,0.00,154.97,1,11.19,1000.00,5.00,1000.00,0.00,13.25,24.44,24.44
2.79s,1.00,180.41,0.00,179.41,1,12.22,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
4.19s,11.22,191.62,0.00,180.41,1,12.22,1000.00,5.00,1000.00,0.00,0.00,11.22,11.22
5.44s,26.50,218.12,0.00,191.62,1,12.22,1000.00,5.00,1000.00,0.00,14.28,26.50,26.50
2.96s,1.00,219.12,0.00,218.12,1,13.25,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
4.18s,12.25,231.38,0.00,219.12,1,13.25,1000.00,5.00,1000.00,0.00,0.00,12.25,12.25
5.86s,28.56,259.94,0.00,231.38,1,13.25,1000.00,5.00,1000.00,0.00,15.31,28.56,28.56
2.84s,1.00,260.94,0.00,259.94,1,14.28,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
4.20s,13.28,274.22,0.00,260.94,1,14.28,1000.00,5.00,1000.00,0.00,0.00,13.28,13.28
5.74s,30.62,304.84,0.00,274.22,1,14.28,1000.00,5.00,1000.00,0.00,16.34,30.62,30.62
2.89s,1.00,305.84,0.00,304.84,1,15.31,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
4.24s,14.31,320.16,0.00,305.84,1,15.31,1000.00,5.00,1000.00,0.00,0.00,14.31,14.31
5.58s,32.69,352.84,0.00,320.16,1,15.31,1000.00,5.00,1000.00,0.00,17.38,32.69,32.69
2.90s,1.00,353.84,0.00,352.84,1,16.34,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
4.23s,15.34,369.19,0.00,353.84,1,16.34,1000.00,5.00,1000.00,0.00,0.00,15.34,15.34
5.66s,34.75,403.94,0.00,369.19,1,16.34,1000.00,5.00,1000.00,0.00,18.41,34.75,34.75
2.91s,1.00,404.94,0.00,403.94,1,17.38,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
4.23s,16.38,421.31,0.00,404.94,1,17.38,1000.00,5.00,1000.00,0.00,0.00,16.38,16.38
5.67s,36.81,458.12,0.00,421.31,1,17.38,1000.00,5.00,1000.00,0.00,19.44,36.81,36.81
