time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
3.99s,12.06,12.06,0.00,0.00,1,5.00,1000.00,5.00,1000.00,0.00,7.06,12.06,12.06
2.14s,1.00,13.06,0.00,12.06,1,6.03,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.34s,5.03,18.09,0.00,13.06,1,6.03,1000.00,5.00,1000.00,0.00,0.00,5.03,5.03
5.01s,14.12,32.22,0.00,18.09,1,6.03,1000.00,5.00,1000.00,0.00,8.09,14.12,14.12
2.38s,1.00,33.22,0.00,32.22,1,7.06,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.54s,6.06,39.28,0.00,33.22,1,7.06,1000.00,5.00,1000.00,0.00,0.00,6.06,6.06
5.08s,16.19,55.47,0.00,39.28,1,7.06,1000.00,5.00,1000.00,0.00,9.12,16.19,16.19
2.29s,1.00,56.47,0.00,55.47,1,8.09,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.73s,7.09,63.56,0.00,56.47,1,8.09,1000.00,5.00,1000.00,0.00,0.00,7.09,7.09
5.46s,18.25,81.81,0.00,63.56,1,8.09,1000.00,5.00,1000.00,0.00,10.16,18.25,18.25
2.49s,1.00,82.81,0.00,81.81,1,9.12,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
4.05s,8.12,90.94,0.00,82.81,1,9.12,1000.00,5.00,1000.00,0.00,0.00,8.12,8.12
5.51s,20.31,111.25,0.00,90.94,1,9.12,1000.00,5.00,1000.00,0.00,11.19,20.31,20.31
2.71s,1.00,112.25,0.00,110.94,2,10.00,20.00,5.00,1000.00,0.00,1.31,1.31,1.31
6.74s,8.69,120.94,0.00,112.25,1,10.00,20.00,5.00,1000.00,0.00,0.00,8.69,8.69
5.45s,22.38,143.31,0.00,120.94,1,10.00,28.12,5.00,1000.00,0.00,12.38,22.38,22.38
3.42s,12.06,155.38,0.00,140.94,2,10.00,20.00,5.00,1000.00,0.00,14.44,14.44,14.44
7.39s,12.06,167.44,0.00,155.38,1,11.48,20.00,5.00,1000.00,0.00,12.06,12.06,12.06
2.78s,1.00,168.44,0.00,167.44,1,11.62,28.69,5.00,1000.00,0.00,1.00,1.00,1.00
5.51s,21.78,190.22,0.00,168.44,1,11.62,1000.00,5.00,1000.00,0.00,11.16,21.78,21.78
2.63s,1.00,191.22,0.00,188.44,2,10.00,20.00,5.00,1000.00,0.00,2.78,2.78,2.78
6.72s,7.22,198.44,0.00,191.22,1,10.00,20.00,5.00,1000.00,0.00,0.00,7.22,7.22
5.31s,23.84,222.28,0.00,198.44,1,10.00,21.00,5.00,1000.00,2.84,13.84,23.84,23.84
2.49s,1.00,223.28,0.00,218.44,2,10.00,20.00,5.00,1000.00,0.00,4.84,4.84,4.84
8.19s,21.06,244.34,0.00,223.28,1,10.00,20.00,5.00,1000.00,1.06,15.91,21.06,21.06
2.46s,1.00,245.34,0.00,243.28,2,11.21,20.00,5.00,1000.00,0.00,2.06,2.06,2.06
10.01s,22.06,267.41,0.00,245.34,1,11.21,22.42,5.00,1000.00,0.00,12.91,22.06,22.06
2.72s,1.00,268.41,0.00,265.34,2,10.52,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.48s,22.06,290.47,0.00,268.41,1,10.52,21.03,5.00,1000.00,1.03,14.61,22.06,22.06
2.41s,1.00,291.47,0.00,288.41,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.29s,22.06,313.53,0.00,291.47,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.45s,1.00,314.53,0.00,311.47,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.46s,22.06,336.59,0.00,314.53,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.53s,1.00,337.59,0.00,334.53,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.65s,22.06,359.66,0.00,337.59,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.54s,1.00,360.66,0.00,357.59,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.51s,22.06,382.72,0.00,360.66,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.49s,1.00,383.72,0.00,380.66,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.79s,22.06,405.78,0.00,383.72,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.47s,1.00,406.78,0.00,403.72,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.46s,22.06,428.84,0.00,406.78,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.54s,1.00,429.84,0.00,426.78,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
9.17s,22.06,451.91,0.00,429.84,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.67s,1.00,452.91,0.00,449.84,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.80s,22.06,474.97,0.00,452.91,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.61s,1.00,475.97,0.00,472.91,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.63s,22.06,498.03,0.00,475.97,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.58s,1.00,499.03,0.00,495.97,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.55s,22.06,521.09,0.00,499.03,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.51s,1.00,522.09,0.00,519.03,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.77s,22.06,544.16,0.00,522.09,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.49s,1.00,545.16,0.00,542.09,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.80s,22.06,567.22,0.00,545.16,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.64s,1.00,568.22,0.00,565.16,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.60s,22.06,590.28,0.00,568.22,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.46s,1.00,591.28,0.00,588.22,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.64s,22.06,613.34,0.00,591.28,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.49s,1.00,614.34,0.00,611.28,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.35s,22.06,636.41,0.00,614.34,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.51s,1.00,637.41,0.00,634.34,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.64s,22.06,659.47,0.00,637.41,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.52s,1.00,660.47,0.00,657.41,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.70s,22.06,682.53,0.00,660.47,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.47s,1.00,683.53,0.00,680.47,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.69s,22.06,705.59,0.00,683.53,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.46s,1.00,706.59,0.00,703.53,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.58s,22.06,728.66,0.00,706.59,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.50s,1.00,729.66,0.00,726.59,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.51s,22.06,751.72,0.00,729.66,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.59s,1.00,752.72,0.00,749.66,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.52s,22.06,774.78,0.00,752.72,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.58s,1.00,775.78,0.00,772.72,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.47s,22.06,797.84,0.00,775.78,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.59s,1.00,798.84,0.00,795.78,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.92s,22.06,820.91,0.00,798.84,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.54s,1.00,821.91,0.00,818.84,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.63s,22.06,843.97,0.00,821.91,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.45s,1.00,844.97,0.00,841.91,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.44s,22.06,867.03,0.00,844.97,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
2.45s,1.00,868.03,0.00,864.97,2,10.77,20.00,5.00,1000.00,0.00,3.06,3.06,3.06
8.36s,22.06,890.09,0.00,868.03,1,10.77,21.53,5.00,1000.00,0.53,14.36,22.06,22.06
