time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
2.97s,12.06,12.06,0.00,0.00,1,5.00,1000.00,5.00,1000.00,0.00,7.06,12.06,12.06
1.56s,1.00,13.06,0.00,12.06,1,6.03,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.45s,5.03,18.09,0.00,13.06,1,6.03,1000.00,5.00,1000.00,0.00,0.00,5.03,5.03
3.71s,14.12,32.22,0.00,18.09,1,6.03,1000.00,5.00,1000.00,0.00,8.09,14.12,14.12
1.73s,1.00,33.22,0.00,32.22,1,7.06,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.54s,6.06,39.28,0.00,33.22,1,7.06,1000.00,5.00,1000.00,0.00,0.00,6.06,6.06
3.74s,16.19,55.47,0.00,39.28,1,7.06,1000.00,5.00,1000.00,0.00,9.12,16.19,16.19
1.67s,1.00,56.47,0.00,55.47,1,8.09,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.76s,7.09,63.56,0.00,56.47,1,8.09,1000.00,5.00,1000.00,0.00,0.00,7.09,7.09
3.90s,18.25,81.81,0.00,63.56,1,8.09,1000.00,5.00,1000.00,0.00,10.16,18.25,18.25
1.82s,1.00,82.81,0.00,81.81,1,9.12,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.95s,8.12,90.94,0.00,82.81,1,9.12,1000.00,5.00,1000.00,0.00,0.00,8.12,8.12
4.08s,20.31,111.25,0.00,90.94,1,9.12,1000.00,5.00,1000.00,0.00,11.19,20.31,20.31
1.97s,1.00,112.25,0.00,111.25,1,10.16,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.97s,9.16,121.41,0.00,112.25,1,10.16,1000.00,5.00,1000.00,0.00,0.00,9.16,9.16
3.96s,22.38,143.78,0.00,121.41,1,10.16,1000.00,5.00,1000.00,0.00,12.22,22.38,22.38
2.00s,1.00,144.78,0.00,143.78,1,11.19,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.09s,10.19,154.97,0.00,144.78,1,11.19,1000.00,5.00,1000.00,0.00,0.00,10.19,10.19
3.92s,24.44,179.41,0.00,154.97,1,11.19,1000.00,5.00,1000.00,0.00,13.25,24.44,24.44
2.11s,1.00,180.41,0.00,179.41,1,12.22,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.10s,11.22,191.62,0.00,180.41,1,12.22,1000.00,5.00,1000.00,0.00,0.00,11.22,11.22
4.06s,26.50,218.12,0.00,191.62,1,12.22,1000.00,5.00,1000.00,0.00,14.28,26.50,26.50
2.09s,1.00,219.12,0.00,218.12,1,13.25,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.19s,12.25,231.38,0.00,219.12,1,13.25,1000.00,5.00,1000.00,0.00,0.00,12.25,12.25
4.41s,28.56,259.94,0.00,231.38,1,13.25,1000.00,5.00,1000.00,0.00,15.31,28.56,28.56
2.04s,1.00,260.94,0.00,259.94,1,14.28,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.03s,13.28,274.22,0.00,260.94,1,14.28,1000.00,5.00,1000.00,0.00,0.00,13.28,13.28
4.29s,30.62,304.84,0.00,274.22,1,14.28,1000.00,5.00,1000.00,0.00,16.34,30.62,30.62
2.40s,1.00,305.84,0.00,304.84,1,15.31,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.69s,14.31,320.16,0.00,305.84,1,15.31,1000.00,5.00,1000.00,0.00,0.00,14.31,14.31
4.48s,32.69,352.84,0.00,320.16,1,15.31,1000.00,5.00,1000.00,0.00,17.38,32.69,32.69
2.27s,1.00,353.84,0.00,352.84,1,16.34,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.42s,15.34,369.19,0.00,353.84,1,16.34,1000.00,5.00,1000.00,0.00,0.00,15.34,15.34
4.56s,34.75,403.94,0.00,369.19,1,16.34,1000.00,5.00,1000.00,0.00,18.41,34.75,34.75
2.35s,1.00,404.94,0.00,403.94,1,17.38,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.35s,16.38,421.31,0.00,404.94,1,17.38,1000.00,5.00,1000.00,0.00,0.00,16.38,16.38
4.67s,36.81,458.12,0.00,421.31,1,17.38,1000.00,5.00,1000.00,0.00,19.44,36.81,36.81
2.21s,1.00,459.12,0.00,458.12,1,18.41,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.54s,17.41,476.53,0.00,459.12,1,18.41,1000.00,5.00,1000.00,0.00,0.00,17.41,17.41
4.68s,38.88,515.41,0.00,476.53,1,18.41,1000.00,5.00,1000.00,0.00,20.47,38.88,38.88
2.25s,1.00,516.41,0.00,515.41,1,19.44,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.73s,18.44,534.84,0.00,516.41,1,19.44,1000.00,5.00,1000.00,0.00,0.00,18.44,18.44
4.84s,40.94,575.78,0.00,534.84,1,19.44,1000.00,5.00,1000.00,0.00,21.50,40.94,40.94
2.16s,1.00,576.78,0.00,575.78,1,20.47,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.59s,19.47,596.25,0.00,576.78,1,20.47,1000.00,5.00,1000.00,0.00,0.00,19.47,19.47
4.91s,43.00,639.25,0.00,596.25,1,20.47,1000.00,5.00,1000.00,0.00,22.53,43.00,43.00
2.32s,1.00,640.25,0.00,639.25,1,21.50,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.77s,20.50,660.75,0.00,640.25,1,21.50,1000.00,5.00,1000.00,0.00,0.00,20.50,20.50
5.37s,45.06,705.81,0.00,660.75,1,21.50,1000.00,5.00,1000.00,0.00,23.56,45.06,45.06
2.24s,1.00,706.81,0.00,705.81,1,22.53,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.62s,21.53,728.34,0.00,706.81,1,22.53,1000.00,5.00,1000.00,0.00,0.00,21.53,21.53
4.88s,47.12,775.47,0.00,728.34,1,22.53,1000.00,5.00,1000.00,0.00,24.59,47.12,47.12
2.22s,1.00,776.47,0.00,775.47,1,23.56,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.69s,22.56,799.03,0.00,776.47,1,23.56,1000.00,5.00,1000.00,0.00,0.00,22.56,22.56
4.87s,49.19,848.22,0.00,799.03,1,23.56,1000.00,5.00,1000.00,0.00,25.62,49.19,49.19
2.27s,1.00,849.22,0.00,848.22,1,24.59,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
3.68s,23.59,872.81,0.00,849.22,1,24.59,1000.00,5.00,1000.00,0.00,0.00,23.59,23.59
4.94s,51.25,924.06,0.00,872.81,1,24.59,1000.00,5.00,1000.00,0.00,26.66,51.25,51.25
2.26s,1.00,925.06,0.00,922.81,2,25.00,50.00,5.00,1000.00,0.00,2.25,2.25,2.25
6.25s,22.75,947.81,0.00,925.06,1,25.00,50.00,5.00,1000.00,0.00,0.00,22.75,22.75
4.87s,53.31,1001.12,0.00,947.81,1,25.00,73.59,5.00,1000.00,0.00,28.31,53.31,53.31
2.79s,27.06,1028.19,0.00,997.81,2,25.00,50.00,5.00,1000.00,0.00,30.38,30.38,30.38
6.60s,27.06,1055.25,0.00,1028.19,1,26.79,50.00,5.00,1000.00,0.00,27.06,27.06,27.06
3.68s,28.85,1084.10,0.00,1055.25,1,26.86,72.75,5.00,1000.00,0.00,28.85,28.85,28.85
4.31s,28.92,1113.03,0.00,1084.10,1,27.26,1000.00,5.00,1000.00,0.00,28.92,28.92,28.92
3.91s,23.64,1136.66,0.00,1113.03,1,23.04,1000.00,5.00,1000.00,0.00,23.64,23.64,23.64
4.15s,23.27,1159.93,0.00,1136.66,1,21.69,1000.00,5.00,1000.00,0.00,23.27,23.27,23.27
4.39s,22.42,1182.35,0.00,1159.93,1,20.94,1000.00,5.00,1000.00,0.00,22.42,22.42,22.42
4.25s,21.02,1203.37,0.00,1182.35,1,19.65,1000.00,5.00,1000.00,0.00,21.02,21.02,21.02
4.24s,19.39,1222.76,0.00,1203.37,1,18.07,1000.00,5.00,1000.00,0.00,19.39,19.39,19.39
3.92s,18.74,1241.50,0.00,1222.76,1,17.22,1000.00,5.00,1000.00,0.00,18.74,18.74,18.74
3.92s,17.77,1259.27,0.00,1241.50,1,16.31,1000.00,5.00,1000.00,0.00,17.77,17.77,17.77
3.89s,16.85,1276.12,0.00,1259.27,1,15.39,1000.00,5.00,1000.00,0.00,16.85,16.85,16.85
3.84s,16.04,1292.16,0.00,1276.12,1,14.55,1000.00,5.00,1000.00,0.00,16.04,16.04,16.04
3.83s,15.40,1307.57,0.00,1292.16,1,13.88,1000.00,5.00,1000.00,0.00,15.40,15.40,15.40
3.89s,14.73,1322.30,0.00,1307.57,1,13.21,1000.00,5.00,1000.00,0.00,14.73,14.73,14.73
3.92s,14.14,1336.43,0.00,1322.30,1,12.60,1000.00,5.00,1000.00,0.00,14.14,14.14,14.14
3.90s,13.61,1350.04,0.00,1336.43,1,12.06,1000.00,5.00,1000.00,0.00,13.61,13.61,13.61
3.91s,13.13,1363.17,0.00,1350.04,1,11.58,1000.00,5.00,1000.00,0.00,13.13,13.13,13.13
3.88s,12.68,1375.85,0.00,1363.17,1,11.12,1000.00,5.00,1000.00,0.00,12.68,12.68,12.68
