time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
1.02s,12.00,12.00,0.00,0.00,1,5.00,1000.00,5.00,1000.00,0.00,7.00,12.00,12.00
911.58ms,7.00,19.00,0.00,12.00,1,6.00,1000.00,5.00,1000.00,0.00,7.00,7.00,7.00
686.52ms,1.00,20.00,0.00,19.00,1,6.33,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
1.15s,13.67,33.67,0.00,20.00,1,6.33,1000.00,5.00,1000.00,0.00,8.33,13.67,13.67
662.54ms,1.00,34.67,0.00,33.67,1,6.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
978.14ms,5.83,40.50,0.00,34.67,1,6.83,1000.00,5.00,1000.00,0.00,0.00,5.83,5.83
1.50s,15.67,56.17,0.00,40.50,1,6.83,1000.00,5.00,1000.00,0.00,8.83,15.67,15.67
691.74ms,1.00,57.17,0.00,55.50,2,7.50,15.00,5.00,1000.00,0.00,1.67,1.67,1.67
2.21s,16.00,73.17,0.00,57.17,1,7.50,15.00,5.00,1000.00,1.00,10.17,16.00,16.00
791.28ms,1.00,74.17,0.00,72.17,2,7.92,15.00,5.00,1000.00,0.00,2.00,2.00,2.00
2.20s,16.00,90.17,0.00,74.17,1,7.92,16.67,5.00,1000.00,0.17,10.08,16.00,16.00
685.99ms,1.00,91.17,0.00,89.17,2,8.00,15.00,5.00,1000.00,0.00,2.00,2.00,2.00
2.31s,16.00,107.17,0.00,91.17,1,8.00,17.00,5.00,1000.00,0.00,10.00,16.00,16.00
678.31ms,1.00,108.17,0.00,106.17,2,8.00,15.00,5.00,1000.00,0.00,2.00,2.00,2.00
2.29s,16.00,124.17,0.00,108.17,1,8.00,17.00,5.00,1000.00,0.00,10.00,16.00,16.00
689.39ms,1.00,125.17,0.00,123.17,2,8.00,15.00,5.00,1000.00,0.00,2.00,2.00,2.00
2.29s,16.00,141.17,0.00,125.17,1,8.00,17.00,5.00,1000.00,0.00,10.00,16.00,16.00
699.92ms,1.00,142.17,0.00,140.17,2,8.00,15.00,5.00,1000.00,0.00,2.00,2.00,2.00
2.37s,16.00,158.17,0.00,142.17,1,8.00,17.00,5.00,1000.00,0.00,10.00,16.00,16.00
710.69ms,1.00,159.17,0.00,157.17,2,8.00,15.00,5.00,1000.00,0.00,2.00,2.00,2.00
2.35s,16.00,175.17,0.00,159.17,1,8.00,17.00,5.00,1000.00,0.00,10.00,16.00,16.00
697.74ms,1.00,176.17,0.00,174.17,2,8.00,15.00,5.00,1000.00,0.00,2.00,2.00,2.00
