time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
6.87s,6.00,6.00,0.00,6.00,0,6.00,120.00,0.06,120.00,0.00,0.00
5.46s,7.00,13.00,0.00,13.00,0,7.00,120.00,0.06,120.00,0.00,0.00
4.58s,8.00,21.00,0.00,21.00,0,8.00,120.00,0.06,120.00,0.00,0.00
4.52s,9.00,30.00,0.00,30.00,0,9.00,120.00,0.06,120.00,0.00,0.00
4.23s,10.00,40.00,0.00,40.00,0,10.00,120.00,0.06,120.00,0.00,0.00
4.57s,11.00,51.00,0.00,51.00,0,11.00,120.00,0.06,120.00,0.00,0.00
4.50s,12.00,63.00,0.00,63.00,0,12.00,120.00,0.06,120.00,0.00,0.00
4.41s,13.00,76.00,0.00,76.00,0,13.00,120.00,0.06,120.00,0.00,0.00
4.90s,14.00,90.00,0.00,90.00,0,14.00,120.00,0.06,120.00,0.00,0.00
3.93s,28.00,118.00,0.00,110.00,0,20.02,120.00,0.06,120.00,0.06,8.00
5.80s,20.02,138.02,0.00,130.00,0,20.02,120.00,0.03,120.00,8.02,8.02
7.46s,20.02,158.03,0.00,150.00,0,20.02,120.00,0.05,120.00,8.03,8.03
5.05s,21.02,179.05,0.00,170.00,0,20.02,120.00,0.06,120.00,8.06,9.05
6.70s,21.02,200.07,0.00,190.00,0,18.02,120.00,0.06,120.00,7.08,10.07
10.70s,18.02,218.09,0.00,210.00,0,18.03,120.00,0.06,120.00,8.09,8.09
7.50s,19.03,237.12,0.00,230.00,0,18.03,120.00,0.06,120.00,6.12,7.12
8.17s,19.03,256.15,0.00,250.00,0,17.77,120.00,0.06,120.00,4.90,6.15
7.76s,18.77,274.92,0.00,270.00,0,17.49,120.00,0.06,120.00,3.65,4.92
8.26s,18.49,293.41,0.00,290.00,0,18.01,120.00,0.06,120.00,2.93,3.41
8.75s,19.01,312.42,0.00,310.00,0,18.25,120.00,0.06,120.00,1.66,2.42
