time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
6.39s,19.93,1943.91,67.33,1776.64,3,18.41,30.63,52.01,119.96
6.75s,36.83,1980.73,67.33,1804.66,3,20.00,33.33,54.02,119.94
3.88s,21.00,2001.73,67.33,1824.66,3,20.00,33.33,50.01,119.96
5.47s,21.00,2022.73,67.33,1844.66,4,17.60,29.30,45.35,119.94
7.28s,35.21,2057.94,67.33,1873.40,4,19.38,32.25,51.44,119.94
5.03s,20.38,2078.32,67.33,1895.21,4,18.11,30.15,50.59,119.95
7.38s,18.11,2096.43,67.33,1915.40,4,18.15,30.23,47.20,119.95
9.35s,18.15,2114.57,82.54,1935.40,4,18.15,30.23,45.40,119.97
7.53s,36.29,2150.87,86.21,1964.66,4,18.26,30.39,49.96,119.95
5.48s,19.26,2170.13,89.87,1984.66,4,17.90,29.78,49.31,119.97
8.73s,35.80,2205.93,93.66,2015.21,3,19.98,33.26,55.19,119.96
3.65s,20.98,2226.91,93.66,2035.40,3,20.03,33.30,50.74,119.96
7.32s,20.03,2246.94,93.66,2055.40,4,18.16,30.21,47.16,119.95
9.21s,18.16,2265.11,94.73,2075.40,4,18.15,30.08,45.40,119.97
8.74s,18.15,2283.25,94.73,2104.66,4,17.95,29.80,49.36,119.97
6.37s,18.95,2302.20,101.27,2125.64,4,18.05,30.05,50.25,119.96
6.12s,36.10,2338.30,101.27,2145.67,4,18.06,30.05,46.85,119.95
4.85s,36.11,2374.41,101.27,2172.64,3,19.47,32.40,50.42,119.95
7.93s,20.47,2394.88,101.27,2193.14,3,17.70,29.49,47.50,119.95
4.96s,18.70,2413.58,101.27,2224.66,3,19.80,32.96,55.27,119.95
6.21s,19.80,2433.38,101.27,2245.64,3,20.03,33.30,52.51,119.94
