time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
6.56s,26.06,1328.40,23.24,1251.93,3,12.98,21.60,32.46,119.96
5.59s,25.95,1354.35,23.24,1267.05,2,12.64,21.03,30.31,119.96
7.98s,25.29,1379.63,23.24,1283.84,2,12.00,19.96,27.21,119.94
10.78s,12.00,1391.63,23.24,1303.85,3,13.38,22.28,36.83,119.96
7.24s,26.75,1418.39,23.24,1316.97,3,13.03,21.64,33.30,119.96
6.11s,13.03,1431.42,23.24,1331.93,3,13.00,21.59,32.46,119.96
7.51s,13.00,1444.42,23.33,1347.10,4,12.65,21.04,31.65,119.96
7.63s,12.65,1457.07,32.54,1363.86,3,12.00,19.96,31.96,119.96
6.00s,12.00,1469.07,32.54,1383.88,4,13.38,22.28,36.81,119.96
5.34s,26.77,1495.84,34.45,1396.97,4,13.03,21.65,33.28,119.96
3.22s,14.03,1509.87,34.45,1411.93,3,12.98,21.58,32.42,119.94
7.80s,25.96,1535.83,34.45,1427.10,3,12.68,21.08,31.63,119.94
6.65s,25.35,1561.19,34.45,1443.88,3,12.01,19.97,31.98,119.94
8.16s,13.01,1574.20,34.45,1463.88,3,13.38,22.28,36.80,119.97
7.00s,26.77,1600.96,34.45,1476.97,3,13.01,21.68,33.27,119.96
7.21s,26.02,1626.98,34.45,1491.96,4,13.00,21.59,32.45,119.95
8.19s,14.00,1640.98,43.87,1507.12,4,12.66,21.06,31.62,119.95
8.12s,25.33,1666.30,50.32,1523.88,4,12.00,19.96,31.96,119.96
6.39s,12.00,1678.30,50.32,1543.88,4,13.39,22.28,36.80,119.96
7.37s,26.79,1705.09,57.08,1556.97,4,13.03,21.65,33.28,119.97
