time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
6.40s,26.02,2084.82,618.64,1430.16,1,14.00,22.48,3.94,23.31
3.44s,15.00,2099.81,629.68,1445.13,1,13.05,20.51,3.92,23.33
4.31s,26.09,2125.90,630.75,1464.07,1,13.82,22.98,8.97,23.89
3.76s,27.64,2153.55,631.82,1484.08,1,15.02,19.97,8.95,23.90
7.38s,30.05,2183.60,631.84,1504.07,1,14.79,24.62,10.03,26.95
6.11s,29.59,2213.19,639.48,1524.07,1,15.80,25.02,10.02,37.06
4.88s,15.80,2228.99,649.53,1544.07,1,16.00,24.78,10.05,38.95
3.75s,16.00,2244.99,659.12,1564.11,1,16.02,20.00,10.04,29.92
3.59s,32.03,2277.02,659.12,1584.07,1,16.01,26.62,10.03,29.98
3.04s,16.01,2293.03,662.95,1604.08,1,16.01,22.09,5.81,29.93
4.36s,32.02,2325.05,667.15,1619.88,1,15.18,25.26,8.94,25.73
4.00s,16.18,2341.24,667.15,1639.89,1,15.16,25.24,8.59,25.77
3.48s,30.31,2371.55,675.18,1659.87,1,15.18,23.99,10.00,27.16
3.63s,16.18,2387.73,675.18,1679.87,1,15.19,25.26,10.05,26.84
2.43s,16.19,2403.92,681.68,1699.87,1,16.03,23.80,10.01,29.97
3.43s,32.05,2435.98,681.68,1719.91,1,16.03,26.63,10.00,29.95
3.50s,32.05,2468.03,686.11,1739.87,1,16.02,21.90,6.21,29.91
5.61s,32.03,2500.06,701.98,1756.05,1,15.27,23.03,2.88,26.17
5.27s,30.53,2530.60,708.12,1769.91,1,14.05,23.31,7.52,26.15
5.42s,14.05,2544.65,720.15,1789.91,1,14.00,23.32,10.02,26.15
4.75s,28.00,2572.65,730.69,1809.92,1,14.02,19.96,10.04,24.99
