time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
3.87s,15.02,2058.81,554.44,1479.38,1,14.02,19.98,6.71,26.10
4.48s,28.05,2086.85,554.44,1499.39,1,14.01,23.35,10.03,24.95
4.54s,28.03,2114.88,557.51,1519.34,1,15.02,19.98,10.01,25.41
5.49s,30.05,2144.93,565.54,1539.34,1,16.02,24.02,2.01,29.95
5.51s,32.04,2176.97,583.61,1551.31,1,15.00,19.98,6.04,21.95
6.06s,29.99,2206.96,583.61,1571.31,1,14.42,21.97,10.01,21.96
5.40s,28.84,2235.80,595.65,1591.31,1,20.01,23.99,10.01,21.95
5.64s,40.01,2275.81,605.65,1611.33,1,15.02,23.97,10.04,32.96
6.08s,30.03,2305.84,614.48,1631.33,1,16.03,26.66,10.03,38.80
4.05s,17.03,2322.87,644.53,1651.34,1,16.03,19.99,10.00,29.96
3.86s,16.03,2338.90,644.53,1671.31,1,16.02,26.64,10.03,29.98
3.48s,32.04,2370.94,644.53,1691.31,1,17.03,26.65,10.00,29.95
2.71s,34.05,2404.99,644.53,1711.31,1,16.00,26.66,7.06,49.97
6.30s,31.99,2436.99,652.60,1728.34,1,15.43,25.66,9.25,41.03
3.84s,16.43,2453.42,666.65,1748.34,1,15.44,25.65,10.02,35.97
5.09s,30.88,2484.29,678.64,1768.34,1,15.43,19.99,10.03,28.01
5.72s,30.86,2515.16,685.95,1788.36,1,15.43,19.97,10.01,27.74
6.62s,30.87,2546.02,696.81,1808.36,1,16.01,25.00,0.03,29.96
5.96s,32.01,2578.04,706.79,1818.40,1,15.04,23.35,7.48,29.03
6.88s,15.04,2593.07,717.66,1838.36,1,14.04,23.33,9.97,28.98
4.65s,28.07,2621.14,729.67,1858.36,1,14.04,19.99,10.04,23.33
