time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
6.72s,13.35,1412.78,105.98,1253.05,3,12.82,21.35,32.06,53.21
5.29s,12.82,1425.60,106.01,1268.95,3,12.41,20.67,31.32,50.43
5.51s,24.81,1450.41,106.01,1286.96,3,12.18,20.26,33.94,49.97
5.29s,24.37,1474.78,106.01,1306.18,3,13.29,22.14,37.25,49.96
6.32s,13.29,1488.07,106.01,1319.73,2,13.34,22.20,32.87,49.96
6.02s,26.69,1514.75,106.01,1333.07,3,12.82,21.35,32.11,61.81
4.63s,13.82,1528.58,106.01,1348.95,3,12.42,20.64,31.27,62.29
5.91s,24.84,1553.41,106.01,1366.96,4,12.17,20.26,33.92,49.96
8.39s,12.17,1565.58,107.81,1386.18,3,13.29,22.14,37.26,49.96
7.04s,13.29,1578.87,107.81,1399.74,4,13.34,22.20,33.89,53.22
10.89s,13.34,1592.21,115.02,1413.07,4,12.82,21.35,32.09,63.31
3.97s,13.82,1606.04,115.50,1428.95,4,12.40,20.66,31.27,49.95
5.12s,13.40,1619.44,118.62,1446.96,4,12.19,20.25,33.92,50.42
4.21s,24.38,1643.82,118.62,1466.20,3,13.34,22.15,37.28,49.95
3.96s,14.34,1658.16,118.62,1479.75,3,13.34,22.20,33.89,49.96
4.01s,14.34,1672.50,118.62,1493.07,3,12.85,21.34,32.10,49.96
4.08s,13.85,1686.35,118.62,1508.97,3,12.44,20.66,31.31,57.78
5.89s,12.44,1698.80,118.62,1526.98,3,12.20,20.25,33.94,51.11
7.33s,12.20,1710.99,118.62,1546.20,3,13.29,22.14,37.26,49.95
6.32s,13.29,1724.28,118.62,1559.75,3,13.34,22.20,33.87,49.96
