time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
6.39s,17.41,2021.00,84.83,1816.62,4,20.02,30.91,59.07,75.00
7.33s,40.04,2061.04,87.72,1836.62,4,20.00,33.30,58.12,60.00
4.40s,21.00,2082.04,87.72,1856.62,4,19.66,32.66,52.09,77.36
10.84s,20.66,2102.70,105.08,1878.51,4,20.02,30.90,50.04,99.11
8.35s,20.02,2122.72,122.53,1898.51,3,16.41,27.27,41.90,101.20
6.21s,17.41,2140.13,123.48,1919.21,4,16.52,27.50,41.75,70.55
9.08s,16.52,2156.64,123.48,1939.24,4,16.52,27.51,41.33,73.73
9.74s,16.52,2173.17,123.48,1959.56,4,16.23,27.00,40.75,50.89
7.03s,32.47,2205.63,123.48,1982.16,4,16.74,27.84,43.01,62.73
7.10s,33.49,2239.12,136.93,2002.19,4,16.62,27.64,42.63,98.99
7.08s,17.62,2256.75,137.94,2022.88,3,16.73,27.87,42.22,95.03
7.11s,33.46,2290.20,137.94,2052.26,3,18.57,30.89,50.50,75.38
7.81s,37.15,2327.35,137.94,2079.56,3,19.48,32.41,56.69,80.06
6.16s,19.48,2346.83,137.94,2101.67,3,19.91,33.11,52.54,94.56
7.83s,39.81,2386.64,137.95,2121.67,3,19.77,32.89,49.39,107.73
7.27s,20.77,2407.41,137.95,2142.88,4,18.13,30.19,45.32,56.94
10.53s,18.13,2425.54,147.32,2162.88,4,16.68,27.73,41.72,60.00
9.13s,16.68,2442.22,147.32,2182.88,4,16.25,27.06,40.85,50.04
8.56s,32.51,2474.73,163.95,2202.88,4,16.25,27.03,40.62,79.77
7.31s,16.25,2490.98,164.64,2222.88,4,16.00,26.66,40.02,66.81
10.49s,16.00,2506.98,165.02,2242.88,4,16.02,26.62,40.02,76.68
