time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
304.02ms,9.84,9.84,0.00,0.00,0,5.00,120.00,0.04,120.00,0.00,4.44,5.23,9.84
200.94ms,1.00,10.84,0.00,9.84,1,5.17,120.00,0.47,120.00,0.00,0.84,1.00,1.00
229.57ms,11.25,22.09,0.00,10.99,0,5.27,120.00,0.43,120.00,0.00,6.81,9.02,11.10
192.25ms,1.00,23.09,0.00,22.17,0,5.66,120.00,0.46,120.00,0.00,0.46,0.46,0.93
231.78ms,13.12,36.22,0.00,23.09,1,5.66,120.00,0.50,120.00,0.00,7.99,10.66,13.12
194.49ms,1.00,37.22,0.00,36.22,1,6.59,120.00,0.25,120.00,0.00,0.97,1.00,1.00
234.74ms,15.00,52.22,0.00,37.22,1,6.62,120.00,0.29,120.00,0.00,9.25,12.19,15.00
182.77ms,1.00,53.22,0.00,52.22,1,7.51,120.00,0.26,120.00,0.00,1.00,1.00,1.00
206.90ms,17.34,70.56,0.00,53.22,1,7.73,120.00,0.50,120.00,0.00,10.58,14.09,17.34
188.08ms,1.00,71.56,0.00,70.56,1,8.67,120.00,0.34,120.00,0.00,0.97,1.00,1.00
238.77ms,20.62,92.19,0.00,71.56,1,8.83,120.00,0.29,120.00,0.00,12.56,16.44,20.62
173.71ms,1.00,93.19,0.00,92.19,1,10.31,120.00,0.25,120.00,0.00,0.97,1.00,1.00
244.75ms,24.38,117.56,0.00,93.19,1,10.39,120.00,0.50,120.00,0.00,15.03,19.80,24.38
186.29ms,1.00,118.56,0.00,117.56,1,12.25,120.00,0.25,120.00,0.00,0.97,1.00,1.00
266.57ms,29.06,147.62,0.00,118.56,1,12.53,120.00,0.50,120.00,0.00,17.61,23.61,29.06
177.87ms,1.00,148.62,0.00,147.62,1,14.53,120.00,0.50,120.00,0.00,0.97,1.00,1.00
279.81ms,35.16,183.78,0.00,148.62,1,14.56,120.00,0.50,120.00,0.00,21.54,28.29,35.16
191.60ms,1.00,184.78,0.00,183.78,1,17.58,120.00,0.50,120.00,0.00,0.97,1.00,1.00
264.41ms,42.66,227.44,0.00,184.78,1,17.79,120.00,0.50,120.00,0.00,25.90,34.32,42.66
191.94ms,1.00,228.44,0.00,227.44,1,21.33,120.00,0.50,120.00,0.00,1.00,1.00,1.00
299.01ms,52.03,280.47,0.00,228.44,1,21.63,120.00,0.50,120.00,0.00,31.35,41.87,52.03
208.80ms,1.00,281.47,0.00,280.47,1,26.39,120.00,0.50,120.00,0.00,0.97,1.00,1.00
270.57ms,63.75,345.22,0.00,281.47,1,26.35,120.00,0.50,120.00,0.00,38.50,51.30,63.75
193.93ms,1.00,346.22,0.00,345.22,1,31.88,120.00,0.50,120.00,0.00,1.00,1.00,1.00
265.36ms,78.28,424.50,0.00,346.22,1,32.12,120.00,0.50,120.00,0.00,47.32,62.99,78.28
168.01ms,1.00,425.50,0.00,424.50,1,39.14,120.00,0.25,120.00,0.00,0.97,1.00,1.00
292.30ms,96.56,522.06,0.00,425.50,1,39.27,120.00,0.50,120.00,0.00,58.41,77.33,96.56
210.53ms,1.00,523.06,0.00,522.06,1,48.28,120.00,0.25,120.00,0.00,0.97,1.00,1.00
283.97ms,119.53,642.59,0.00,523.06,1,48.65,120.00,0.50,120.00,0.00,72.09,95.72,119.53
296.79ms,1.00,643.59,0.00,623.06,1,50.00,99.77,0.23,120.00,0.00,20.30,1.28,20.53
421.51ms,104.06,747.66,0.00,643.92,0,50.04,99.99,19.54,120.00,4.07,74.26,98.87,103.74
301.92ms,1.00,748.66,0.00,743.76,1,55.17,100.00,19.53,120.00,0.00,4.90,4.90,4.90
332.14ms,120.00,868.66,0.00,748.66,1,55.39,110.04,3.92,120.00,3.90,69.66,104.06,120.00
303.49ms,1.00,869.66,0.00,848.66,1,51.30,99.97,4.23,120.00,0.00,20.96,2.62,21.00
313.92ms,106.88,976.53,0.00,869.66,1,51.22,102.32,20.26,120.00,4.72,76.42,101.45,106.88
318.72ms,1.00,977.53,0.00,969.66,1,55.31,99.85,20.32,120.00,0.00,7.88,7.88,7.88
413.57ms,120.00,1097.53,0.00,977.77,0,55.42,110.18,7.02,120.00,6.88,72.28,106.66,119.76
309.05ms,1.00,1098.53,0.00,1077.98,1,52.08,100.37,6.88,120.00,0.00,20.19,3.85,20.55
367.79ms,109.22,1207.75,0.00,1098.65,0,52.19,104.12,19.64,120.00,5.31,77.56,103.13,109.10
315.07ms,1.00,1208.75,0.00,1198.53,1,55.43,99.89,20.11,120.00,0.00,9.84,10.22,10.22
350.42ms,120.00,1328.75,0.00,1208.75,1,55.21,110.14,9.28,120.00,9.22,75.00,109.22,120.00
311.60ms,1.00,1329.75,0.00,1308.75,1,52.96,99.98,9.24,120.00,0.00,20.94,5.25,21.00
330.42ms,110.16,1439.91,0.00,1329.75,1,52.73,104.84,20.00,120.00,5.37,78.35,104.13,110.16
308.46ms,1.00,1440.91,0.00,1430.01,1,55.45,100.08,20.00,120.00,0.00,10.61,10.56,10.90
359.42ms,120.00,1560.91,0.00,1440.91,1,55.65,110.30,10.03,120.00,9.41,75.41,109.69,120.00
325.69ms,1.00,1561.91,0.00,1540.91,1,52.97,99.87,10.25,120.00,0.00,20.78,5.58,21.00
328.32ms,110.62,1672.53,0.00,1561.91,1,53.08,105.43,20.00,120.00,5.07,78.50,105.01,110.62
312.63ms,1.00,1673.53,0.00,1661.91,1,55.56,99.86,20.14,120.00,0.00,11.39,10.54,11.62
333.21ms,120.00,1793.53,0.00,1673.53,1,55.66,110.22,10.66,120.00,9.74,76.22,109.69,120.00
336.08ms,1.00,1794.53,0.00,1773.84,1,53.20,100.19,10.80,120.00,0.00,20.26,5.82,20.69
336.60ms,111.56,1906.09,0.00,1794.53,1,53.08,105.54,19.69,120.00,5.67,79.25,105.03,111.56
343.50ms,1.00,1907.09,0.00,1894.76,1,55.59,100.01,19.99,120.00,0.00,12.08,10.40,12.33
333.16ms,120.00,2027.09,0.00,1907.09,1,55.31,110.40,11.33,120.00,9.62,76.97,109.69,120.00
338.40ms,1.00,2028.09,0.00,2007.09,1,53.20,99.59,11.74,120.00,0.00,20.70,6.56,21.00
351.56ms,111.56,2139.66,0.00,2028.09,1,53.38,106.17,20.17,120.00,5.44,79.16,105.46,111.56
