time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
265.06ms,6.56,6.56,0.00,0.00,0,5.40,120.00,0.47,120.00,0.00,1.27,5.33,6.56
199.49ms,4.13,10.69,0.00,6.56,1,5.00,120.00,0.50,120.00,0.00,0.69,4.13,4.13
252.45ms,7.50,18.19,0.00,10.92,0,5.33,120.00,0.38,120.00,0.00,2.82,5.91,7.27
192.60ms,2.51,20.70,0.00,18.31,0,5.24,120.00,0.44,120.00,0.00,0.57,1.79,2.39
194.44ms,8.44,29.14,0.00,20.76,0,5.16,120.00,0.25,120.00,0.00,5.74,7.59,8.38
173.93ms,1.00,30.14,0.00,29.17,0,5.00,120.00,0.49,120.00,0.00,0.71,0.49,0.97
200.13ms,9.38,39.51,0.00,30.15,0,5.01,120.00,0.42,120.00,0.00,5.32,8.48,9.36
171.24ms,1.00,40.51,0.00,39.52,0,5.00,120.00,0.50,120.00,0.00,0.94,0.50,0.99
211.61ms,10.31,50.83,0.00,40.52,0,5.27,120.00,0.50,120.00,0.00,5.88,9.02,10.31
181.21ms,1.00,51.83,0.00,50.83,0,5.48,120.00,0.50,120.00,0.00,0.94,0.50,1.00
210.51ms,11.25,63.08,0.00,51.83,1,5.25,120.00,0.09,120.00,0.00,6.86,9.49,11.25
175.49ms,1.00,64.08,0.00,63.08,1,5.98,120.00,0.50,120.00,0.00,0.94,1.00,1.00
218.78ms,12.19,76.26,0.00,64.08,1,5.70,120.00,0.46,120.00,0.00,7.42,10.28,12.19
169.72ms,1.00,77.26,0.00,76.26,1,6.36,120.00,0.50,120.00,0.00,0.94,1.00,1.00
240.41ms,13.12,90.39,0.00,77.26,1,6.33,120.00,0.50,120.00,0.00,7.73,11.48,13.12
178.32ms,1.00,91.39,0.00,90.39,1,6.58,120.00,0.42,120.00,0.00,0.97,1.00,1.00
239.76ms,14.06,105.45,0.00,91.39,1,6.59,120.00,0.02,120.00,0.00,8.25,12.30,14.06
175.34ms,1.00,106.45,0.00,105.45,1,7.05,120.00,0.46,120.00,0.00,0.94,1.00,1.00
246.09ms,15.00,121.45,0.00,106.45,1,7.06,120.00,0.50,120.00,0.00,8.78,13.12,15.00
175.94ms,1.00,122.45,0.00,121.45,1,7.52,120.00,0.50,120.00,0.00,0.94,1.00,1.00
243.29ms,15.94,138.39,0.00,122.45,1,7.70,120.00,0.50,120.00,0.00,9.04,14.44,15.94
234.82ms,1.00,139.39,0.00,137.45,1,7.88,14.88,0.12,120.00,0.00,1.55,1.45,1.94
238.25ms,16.41,155.80,0.00,139.39,1,8.00,15.44,0.94,120.00,1.06,10.26,14.61,16.41
249.86ms,1.00,156.80,0.00,154.39,1,8.20,14.57,1.03,120.00,0.00,2.13,1.20,2.41
288.39ms,12.19,168.98,0.00,156.80,1,8.16,15.66,1.41,120.00,0.00,6.46,12.19,12.19
218.61ms,12.66,181.64,0.00,168.98,1,7.58,16.92,1.41,120.00,0.00,12.12,9.49,12.66
200.72ms,1.00,182.64,0.00,181.64,1,8.76,120.00,0.50,120.00,0.00,0.56,1.00,1.00
340.83ms,12.66,195.30,0.00,182.64,1,8.53,120.00,0.50,120.00,0.00,5.38,12.66,12.66
251.36ms,13.12,208.42,0.00,195.30,1,8.31,120.00,0.50,120.00,0.00,9.83,11.48,13.12
186.34ms,1.00,209.42,0.00,208.42,1,8.61,120.00,0.50,120.00,0.00,0.97,1.00,1.00
316.87ms,13.12,222.55,0.00,209.42,1,8.65,120.00,0.36,120.00,0.00,5.45,13.12,13.12
247.16ms,13.59,236.14,0.00,222.55,1,8.59,120.00,0.50,120.00,0.00,10.18,11.89,13.59
195.38ms,1.00,237.14,0.00,236.14,1,8.91,120.00,0.50,120.00,0.00,0.97,1.00,1.00
300.68ms,13.59,250.73,0.00,237.14,1,9.11,120.00,0.50,120.00,0.00,5.69,13.59,13.59
268.64ms,14.06,264.80,0.00,250.73,1,9.04,120.00,0.50,120.00,0.00,10.70,12.30,14.06
196.57ms,1.00,265.80,0.00,264.80,1,9.22,120.00,0.29,120.00,0.00,0.97,1.00,1.00
320.40ms,14.06,279.86,0.00,265.80,1,9.22,120.00,0.50,120.00,0.00,5.84,14.06,14.06
244.39ms,14.53,294.39,0.00,279.86,1,9.22,120.00,0.50,120.00,0.00,10.87,12.71,14.53
217.63ms,1.00,295.39,0.00,294.39,1,9.53,120.00,0.27,120.00,0.00,0.97,1.00,1.00
351.72ms,14.53,309.92,0.00,295.42,0,9.54,120.00,0.48,120.00,0.00,6.00,14.50,14.50
246.04ms,15.00,324.92,0.00,309.94,0,9.67,120.00,0.49,120.00,0.00,11.32,13.11,14.98
192.68ms,1.00,325.92,0.00,324.93,0,10.01,120.00,0.50,120.00,0.00,0.94,0.50,0.99
315.21ms,15.00,340.92,0.00,325.92,0,10.23,120.00,0.46,120.00,0.00,5.81,15.00,15.00
307.48ms,15.47,356.39,0.00,340.92,0,9.84,120.00,0.50,120.00,0.00,11.58,13.53,15.47
254.35ms,1.00,357.39,0.00,355.42,1,9.83,15.00,0.50,120.00,0.00,1.53,1.47,1.97
330.66ms,15.00,372.39,0.00,357.39,1,9.97,14.91,1.23,120.00,0.00,7.13,15.00,15.00
242.94ms,15.47,387.86,0.00,372.39,1,10.16,29.37,0.97,120.00,0.00,12.48,13.54,15.47
301.56ms,1.00,388.86,0.00,385.98,1,9.84,14.69,0.82,120.00,0.00,2.47,1.08,2.88
360.18ms,14.53,403.39,0.00,388.86,1,9.84,15.00,2.25,120.00,0.00,7.88,14.53,14.53
249.02ms,15.00,418.39,0.00,403.39,1,9.68,28.55,2.10,120.00,0.00,13.06,13.12,15.00
304.46ms,1.00,419.39,0.00,417.45,1,9.88,14.78,0.48,120.00,0.00,1.92,1.45,1.94
368.41ms,14.53,433.92,0.00,419.39,1,9.83,15.62,1.31,120.00,0.00,6.87,14.53,14.53
225.75ms,15.00,448.92,0.00,433.92,1,9.96,28.28,1.20,120.00,0.00,12.24,13.12,15.00
175.84ms,1.00,449.92,0.00,448.92,1,10.01,120.00,0.50,120.00,0.00,1.00,1.00,1.00
308.75ms,15.00,464.92,0.00,449.92,1,10.09,120.00,0.50,120.00,0.00,5.94,15.00,15.00
237.96ms,15.47,480.39,0.00,464.92,1,10.32,120.00,0.37,120.00,0.00,11.56,13.54,15.47
247.77ms,1.00,481.39,0.00,479.45,1,10.15,15.18,0.41,120.00,0.00,1.92,1.45,1.94
331.13ms,15.00,496.39,0.00,481.39,1,9.92,15.12,1.23,120.00,0.00,7.09,15.00,15.00
231.97ms,15.47,511.86,0.00,496.39,1,9.99,29.45,0.98,120.00,0.00,12.49,13.54,15.47
293.82ms,1.00,512.86,0.00,509.98,1,9.87,14.77,0.88,120.00,0.00,2.47,1.08,2.88
325.86ms,14.53,527.39,0.00,512.86,1,9.68,15.04,2.04,120.00,0.00,7.88,14.53,14.53
254.60ms,15.00,542.39,0.00,527.39,1,9.84,28.54,1.88,120.00,0.00,13.06,13.12,15.00
278.30ms,1.00,543.39,0.00,541.45,1,9.77,14.84,0.27,120.00,0.00,1.92,1.45,1.94
343.90ms,14.53,557.92,0.00,543.39,1,9.70,15.60,1.15,120.00,0.00,6.82,14.53,14.53
237.25ms,15.00,572.92,0.00,557.92,1,9.96,28.28,1.20,120.00,0.00,12.14,13.12,15.00
173.75ms,1.00,573.92,0.00,572.92,1,10.01,120.00,0.34,120.00,0.00,1.00,1.00,1.00
378.67ms,15.00,588.92,0.00,574.19,0,10.04,120.00,0.28,120.00,0.00,6.09,14.73,14.73
263.46ms,15.47,604.39,0.00,589.05,0,10.00,120.00,0.43,120.00,0.00,11.57,13.42,15.34
252.65ms,1.00,605.39,0.00,603.60,1,9.89,15.06,0.35,120.00,0.00,1.52,1.34,1.79
396.57ms,15.00,620.39,0.00,605.69,0,9.91,14.94,0.85,120.00,0.00,6.56,14.70,14.70
280.14ms,15.47,635.86,0.00,620.46,0,10.04,29.38,0.79,120.00,0.00,12.34,13.48,15.40
299.50ms,1.00,636.86,0.00,634.29,1,9.64,14.81,0.78,120.00,0.00,2.12,1.28,2.56
334.18ms,14.53,651.39,0.00,636.86,1,9.99,14.94,1.78,120.00,0.00,7.41,14.53,14.53
