time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
315.27ms,9.84,9.84,0.00,0.00,0,5.23,120.00,0.47,120.00,0.00,4.44,5.23,9.84
177.81ms,1.00,10.84,0.00,9.84,1,5.30,120.00,0.50,120.00,0.00,0.84,1.00,1.00
229.24ms,7.97,18.81,0.00,10.96,0,5.00,120.00,0.30,120.00,0.00,3.81,7.85,7.85
207.92ms,8.44,27.25,0.00,18.87,0,5.30,120.00,0.39,120.00,0.00,7.08,6.02,8.38
182.53ms,1.00,28.25,0.00,27.28,0,5.64,120.00,0.48,120.00,0.00,0.71,0.48,0.97
259.69ms,8.91,37.16,0.00,28.26,0,5.54,120.00,0.33,120.00,0.00,4.34,8.61,8.89
220.09ms,8.91,46.06,0.00,37.16,0,5.68,120.00,0.50,120.00,0.00,7.47,6.67,8.90
207.73ms,1.00,47.06,0.00,46.07,0,6.12,120.00,0.25,120.00,0.00,0.94,0.50,1.00
262.32ms,9.84,56.91,0.00,47.06,0,6.12,120.00,0.35,120.00,0.00,4.70,8.92,9.84
204.15ms,9.84,66.75,0.00,56.91,1,6.01,120.00,0.50,120.00,0.00,8.64,7.08,9.84
194.13ms,1.00,67.75,0.00,66.75,1,6.89,120.00,0.25,120.00,0.00,0.97,1.00,1.00
289.04ms,10.78,78.53,0.00,67.75,1,6.70,120.00,0.50,120.00,0.00,5.00,10.11,10.78
238.91ms,10.78,89.31,0.00,78.53,1,6.74,120.00,0.25,120.00,0.00,9.28,8.09,10.78
187.21ms,1.00,90.31,0.00,89.31,1,7.35,120.00,0.40,120.00,0.00,0.97,1.00,1.00
313.81ms,11.72,102.03,0.00,90.31,1,7.44,120.00,0.50,120.00,0.00,5.30,10.99,11.72
220.11ms,12.19,114.22,0.00,102.03,1,7.53,120.00,0.50,120.00,0.00,10.52,9.14,12.19
187.94ms,1.00,115.22,0.00,114.22,1,8.13,120.00,0.50,120.00,0.00,0.97,1.00,1.00
328.06ms,13.12,128.34,0.00,115.22,1,7.97,120.00,0.44,120.00,0.00,5.71,12.30,13.12
241.46ms,13.59,141.94,0.00,128.34,1,8.22,120.00,0.50,120.00,0.00,11.64,10.20,13.59
166.56ms,1.00,142.94,0.00,141.94,1,8.91,120.00,0.28,120.00,0.00,0.97,1.00,1.00
311.27ms,15.00,157.94,0.00,142.94,1,9.16,120.00,0.37,120.00,0.00,7.01,13.59,15.00
227.46ms,15.00,172.94,0.00,157.94,1,8.91,120.00,0.50,120.00,0.00,12.83,10.78,15.00
204.47ms,1.00,173.94,0.00,172.94,1,10.31,120.00,0.25,120.00,0.00,0.97,1.00,1.00
294.97ms,16.88,190.81,0.00,173.94,1,10.33,120.00,0.50,120.00,0.00,7.52,15.03,16.88
236.04ms,16.88,207.69,0.00,190.81,1,10.00,120.00,0.50,120.00,0.00,14.72,12.13,16.88
202.00ms,1.00,208.69,0.00,207.69,1,11.25,120.00,0.32,120.00,0.00,1.00,1.00,1.00
312.53ms,18.75,227.44,0.00,208.69,1,11.25,120.00,0.32,120.00,0.00,8.05,16.99,18.75
231.20ms,19.22,246.66,0.00,227.44,1,11.34,120.00,0.50,120.00,0.00,16.38,14.11,19.22
217.09ms,1.00,247.66,0.00,246.66,1,12.66,120.00,0.36,120.00,0.00,1.00,1.00,1.00
283.44ms,21.56,269.22,0.00,247.66,1,12.91,120.00,0.50,120.00,0.00,9.47,19.54,21.56
267.39ms,21.56,290.78,0.00,269.22,1,12.88,120.00,0.50,120.00,0.00,18.47,15.50,21.56
203.42ms,1.00,291.78,0.00,290.78,1,14.38,120.00,0.45,120.00,0.00,0.97,1.00,1.00
349.31ms,24.38,316.16,0.00,291.78,1,14.38,120.00,0.50,120.00,0.00,10.92,21.71,24.38
259.33ms,24.84,341.00,0.00,316.16,1,14.45,120.00,0.50,120.00,0.00,21.32,17.86,24.84
223.53ms,1.00,342.00,0.00,341.00,1,16.69,120.00,0.50,120.00,0.00,0.97,1.00,1.00
349.25ms,28.12,370.12,0.00,342.00,1,16.41,120.00,0.48,120.00,0.00,12.37,25.05,28.12
265.71ms,28.12,398.25,0.00,370.12,1,16.79,120.00,0.43,120.00,0.00,24.43,20.21,28.12
203.40ms,1.00,399.25,0.00,398.25,1,18.92,120.00,0.28,120.00,0.00,0.97,1.00,1.00
357.61ms,31.88,431.12,0.00,399.25,1,19.07,120.00,0.50,120.00,0.00,14.06,28.39,31.88
247.24ms,32.34,463.47,0.00,431.12,1,18.95,120.00,0.50,120.00,0.00,27.38,23.50,32.34
207.75ms,1.00,464.47,0.00,463.47,1,21.57,120.00,0.50,120.00,0.00,0.97,1.00,1.00
400.40ms,36.56,501.03,0.00,464.59,0,21.66,120.00,0.44,120.00,0.00,16.09,32.45,36.44
333.87ms,37.03,538.06,0.00,501.09,0,21.43,120.00,0.49,120.00,0.00,31.48,26.86,36.97
260.23ms,1.00,539.06,0.00,538.09,0,24.59,120.00,0.48,120.00,0.00,0.59,0.48,0.97
342.07ms,42.19,581.25,0.00,539.08,0,24.59,120.00,0.50,120.00,0.00,18.46,37.23,42.17
312.38ms,42.66,623.91,0.00,581.26,0,24.72,120.00,0.50,120.00,0.00,36.80,30.32,42.65
256.80ms,1.00,624.91,0.00,623.91,0,28.33,120.00,0.33,120.00,0.00,0.72,0.50,1.00
413.03ms,48.75,673.66,0.00,624.91,0,28.33,120.00,0.50,120.00,0.00,21.29,42.65,48.75
310.63ms,49.22,722.88,0.00,673.66,1,28.45,120.00,0.50,120.00,0.00,42.33,35.38,49.22
236.53ms,1.00,723.88,0.00,722.88,1,32.73,120.00,0.25,120.00,0.00,0.97,1.00,1.00
349.57ms,56.25,780.12,0.00,723.88,1,32.96,120.00,0.29,120.00,0.00,24.56,49.22,56.25
317.38ms,56.72,836.84,0.00,773.88,1,32.81,50.00,0.37,120.00,0.25,48.42,47.23,62.97
320.12ms,1.00,837.84,0.00,823.88,1,33.50,50.06,6.47,120.00,0.00,13.59,1.31,13.97
478.42ms,51.09,888.94,3.19,834.66,1,33.60,50.39,9.78,43.36,0.89,28.54,51.09,51.09
369.56ms,64.69,953.62,3.19,884.66,1,33.60,53.32,10.00,59.66,10.11,48.56,49.08,65.78
361.51ms,1.00,954.62,3.19,934.66,1,33.33,53.31,1.48,120.00,0.00,16.37,1.05,16.78
390.18ms,49.69,1004.31,17.88,936.75,1,33.59,50.00,1.11,37.64,0.00,18.23,49.69,49.69
