time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
248.63ms,13.12,539.94,0.00,526.81,1,8.91,120.00,0.50,120.00,0.00,9.38,12.71,13.12
207.97ms,13.59,553.53,0.00,539.94,1,8.92,120.00,0.50,120.00,0.00,13.20,8.92,13.59
179.56ms,1.00,554.53,0.00,553.53,1,9.96,120.00,0.50,120.00,0.00,0.97,1.00,1.00
306.78ms,13.12,567.66,0.00,554.53,1,10.16,120.00,0.50,120.00,0.00,3.99,13.12,13.12
230.00ms,13.12,580.78,0.00,567.66,1,8.99,120.00,0.50,120.00,0.00,9.26,12.71,13.12
217.75ms,13.59,594.38,0.00,580.78,1,8.92,120.00,0.45,120.00,0.00,13.45,8.92,13.59
175.33ms,1.00,595.38,0.00,594.38,1,10.21,120.00,0.25,120.00,0.00,0.97,1.00,1.00
295.94ms,13.12,608.50,0.00,595.38,1,10.16,120.00,0.50,120.00,0.00,4.10,13.12,13.12
249.63ms,13.12,621.62,0.00,608.50,1,9.17,120.00,0.50,120.00,0.00,9.26,12.71,13.12
214.24ms,13.59,635.22,0.00,621.62,1,8.80,120.00,0.50,120.00,0.00,13.33,8.92,13.59
169.51ms,1.00,636.22,0.00,635.22,1,10.21,120.00,0.50,120.00,0.00,0.97,1.00,1.00
335.83ms,13.12,649.34,0.00,636.22,1,10.16,120.00,0.50,120.00,0.00,4.10,13.12,13.12
219.96ms,13.12,662.47,0.00,649.34,1,8.99,120.00,0.50,120.00,0.00,9.26,12.71,13.12
198.80ms,13.59,676.06,0.00,662.47,1,8.80,120.00,0.50,120.00,0.00,13.20,8.92,13.59
173.72ms,1.00,677.06,0.00,676.06,1,9.96,120.00,0.28,120.00,0.00,0.97,1.00,1.00
314.14ms,13.12,690.19,0.00,677.06,1,10.15,120.00,0.29,120.00,0.00,3.79,13.12,13.12
223.76ms,13.12,703.31,0.00,690.19,1,9.04,120.00,0.50,120.00,0.00,9.38,12.71,13.12
210.47ms,13.59,716.91,0.00,703.31,1,8.75,120.00,0.50,120.00,0.00,13.45,8.92,13.59
176.73ms,1.00,717.91,0.00,716.91,1,10.20,120.00,0.50,120.00,0.00,0.97,1.00,1.00
306.97ms,13.12,731.03,0.00,717.91,1,10.15,120.00,0.29,120.00,0.00,3.79,13.12,13.12
266.21ms,13.12,744.16,0.00,731.03,1,8.92,120.00,0.50,120.00,0.00,9.26,12.71,13.12
210.84ms,13.59,757.75,0.00,744.16,1,8.92,120.00,0.45,120.00,0.00,13.45,8.92,13.59
174.28ms,1.00,758.75,0.00,757.75,1,10.15,120.00,0.50,120.00,0.00,1.00,1.00,1.00
