time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
7.98s,7.00,536.64,0.00,529.63,0,5.93,120.00,0.06,120.00,4.92,7.00
8.31s,6.93,543.56,0.00,536.64,0,5.80,120.00,0.06,120.00,4.82,6.93
6.85s,6.80,550.36,0.00,543.56,0,5.67,120.00,0.06,120.00,4.62,6.80
8.18s,6.67,557.03,0.00,550.36,0,5.59,120.00,0.06,120.00,4.59,6.67
7.93s,6.59,563.62,0.00,557.03,0,5.49,120.00,0.06,120.00,4.48,6.59
7.76s,6.49,570.11,0.00,563.62,0,5.42,120.00,0.06,120.00,4.41,6.49
6.53s,6.42,576.53,0.00,570.11,0,5.34,120.00,0.06,120.00,4.31,6.42
6.98s,6.34,582.87,0.00,576.53,0,5.25,120.00,0.06,120.00,4.26,6.34
8.38s,10.49,593.36,0.00,582.87,0,5.20,120.00,0.06,120.00,4.18,10.49
7.19s,5.20,598.56,0.00,593.36,0,5.98,120.00,0.06,120.00,4.22,5.20
6.74s,11.96,610.52,0.00,598.56,0,5.82,120.00,0.06,120.00,6.45,11.96
9.81s,2.91,613.43,0.00,610.52,0,6.95,120.00,0.06,120.00,1.91,2.91
6.55s,13.89,627.33,0.00,613.43,0,6.92,120.00,0.06,120.00,10.96,13.89
11.90s,7.92,635.24,0.00,627.33,0,7.22,120.00,0.06,120.00,6.25,7.91
5.97s,8.22,643.46,0.00,635.24,0,7.38,120.00,0.05,120.00,6.77,8.22
5.53s,8.38,651.84,0.00,643.46,0,7.55,120.00,0.06,120.00,6.81,8.38
5.97s,8.55,660.39,0.00,651.84,0,7.68,120.00,0.06,120.00,6.99,8.55
8.08s,8.68,669.08,0.00,660.39,0,6.62,120.00,0.06,120.00,5.63,8.68
7.62s,7.62,676.69,0.00,669.08,0,6.77,120.00,0.06,120.00,5.77,7.61
7.64s,7.77,684.46,0.00,676.69,0,6.66,120.00,0.06,120.00,5.71,7.77
7.68s,7.66,692.12,0.00,684.46,0,6.55,120.00,0.06,120.00,5.56,7.65
8.40s,7.55,699.66,0.00,692.12,0,6.40,120.00,0.06,120.00,5.37,7.55
8.24s,7.40,707.06,0.00,699.67,0,6.14,120.00,0.06,120.00,5.14,7.40
6.90s,7.14,714.20,0.00,707.06,0,6.08,120.00,0.06,120.00,5.08,7.14
8.30s,7.08,721.28,0.00,714.21,0,5.96,120.00,0.06,120.00,4.98,7.08
6.74s,6.96,728.25,0.00,721.28,0,5.84,120.00,0.06,120.00,4.84,6.96
7.63s,6.84,735.09,0.00,728.25,0,5.75,120.00,0.06,120.00,4.76,6.84
7.47s,6.75,741.84,0.00,735.09,0,5.61,120.00,0.06,120.00,4.64,6.75
6.84s,6.61,748.45,0.00,741.84,0,5.53,120.00,0.06,120.00,4.54,6.61
7.12s,6.53,754.98,0.00,748.45,0,5.48,120.00,0.06,120.00,4.44,6.53
8.29s,6.48,761.46,0.00,754.98,0,5.38,120.00,0.06,120.00,4.35,6.48
7.41s,6.38,767.84,0.00,761.46,0,5.29,120.00,0.06,120.00,4.29,6.38
7.78s,10.57,778.41,0.00,767.84,0,5.21,120.00,0.06,120.00,4.21,10.57
