time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
6.27s,6.00,6.00,0.00,0.00,0,5.00,120.00,0.06,120.00,5.02,6.00
6.53s,6.00,12.00,0.00,6.00,1,5.03,120.00,0.06,120.00,5.02,6.00
4.98s,6.03,18.03,0.00,12.02,0,5.01,120.00,0.06,120.00,4.04,6.02
5.20s,6.01,24.04,0.00,18.04,0,5.03,120.00,0.06,120.00,4.03,6.00
6.20s,6.03,30.07,0.00,24.04,1,5.00,120.00,0.06,120.00,5.04,6.03
6.20s,10.00,40.07,0.00,30.07,1,5.00,120.00,0.04,120.00,5.00,10.00
7.46s,6.00,46.07,0.00,40.07,1,5.62,120.00,0.06,120.00,5.62,6.00
7.85s,6.62,52.69,0.00,46.07,1,5.61,120.00,0.06,120.00,5.64,6.62
8.96s,11.21,63.91,0.00,52.69,1,5.73,120.00,0.06,120.00,5.74,11.21
8.90s,2.87,66.77,0.00,63.91,1,6.77,120.00,0.05,120.00,2.87,2.87
4.58s,13.54,80.31,0.00,66.78,0,5.97,120.00,0.06,120.00,9.10,13.54
9.50s,5.97,86.29,0.00,80.31,0,6.92,120.00,0.06,120.00,5.00,5.97
6.45s,13.84,100.13,0.00,86.29,0,6.93,120.00,0.06,120.00,7.84,13.84
9.48s,3.46,103.59,0.00,100.13,0,8.34,120.00,0.06,120.00,2.49,3.46
6.68s,16.68,120.27,0.00,103.59,1,8.35,120.00,0.03,120.00,13.23,16.68
9.78s,4.18,124.45,0.00,120.27,1,8.50,120.00,0.03,120.00,4.18,4.18
4.65s,16.99,141.44,0.00,124.45,0,8.53,120.00,0.06,120.00,12.84,16.99
10.98s,4.27,145.70,0.00,141.44,0,9.48,120.00,0.06,120.00,3.27,4.26
7.95s,18.96,164.66,0.00,145.70,1,9.49,120.00,0.06,120.00,14.66,18.96
11.91s,10.49,175.15,0.00,164.66,1,10.06,120.00,0.06,120.00,10.08,10.49
9.46s,10.06,185.20,0.00,175.15,1,10.14,120.00,0.04,120.00,10.06,10.06
8.58s,10.14,195.34,0.00,185.20,1,9.90,120.00,0.06,120.00,9.91,10.14
9.13s,10.90,206.24,0.00,195.39,0,9.95,120.00,0.06,120.00,9.71,10.86
10.48s,10.95,217.19,0.00,206.26,0,8.36,120.00,0.06,120.00,7.34,10.93
8.58s,9.36,226.55,0.00,217.20,0,8.44,120.00,0.06,120.00,7.41,9.35
6.96s,9.44,235.99,0.00,226.55,0,8.28,120.00,0.06,120.00,7.30,9.43
8.56s,9.28,245.26,0.00,235.99,0,8.15,120.00,0.06,120.00,7.14,9.28
8.73s,9.15,254.42,0.00,245.26,0,7.83,120.00,0.04,120.00,6.83,9.15
7.47s,8.83,263.25,0.00,254.42,1,7.45,120.00,0.06,120.00,7.45,8.83
8.33s,14.90,278.15,0.00,263.25,1,7.35,120.00,0.06,120.00,7.39,14.90
7.86s,3.67,281.82,0.00,278.15,1,8.44,120.00,0.06,120.00,3.67,3.67
4.26s,16.88,298.70,0.00,281.82,1,8.25,120.00,0.06,120.00,12.79,16.88
13.94s,8.25,306.94,0.00,298.70,1,8.87,120.00,0.03,120.00,8.25,8.25
3.83s,17.73,324.67,0.00,306.94,1,8.87,120.00,0.06,120.00,9.49,17.73
8.93s,8.87,333.54,0.00,324.67,1,10.74,120.00,0.06,120.00,8.87,8.87
5.86s,11.74,345.28,0.00,333.54,1,10.72,120.00,0.04,120.00,11.74,11.74
9.21s,11.72,357.00,0.00,345.28,1,9.62,120.00,0.04,120.00,9.61,11.72
9.37s,9.62,366.62,0.00,357.01,0,10.03,120.00,0.05,120.00,8.64,9.61
8.30s,11.03,377.65,0.00,366.62,0,8.39,120.00,0.06,120.00,7.41,11.02
5.79s,9.39,387.04,0.00,377.66,0,8.84,120.00,0.06,120.00,7.84,9.38
7.80s,9.84,396.88,0.00,387.04,0,8.35,120.00,0.06,120.00,7.38,9.84
8.39s,9.35,406.24,0.00,396.88,0,7.99,120.00,0.06,120.00,6.98,9.35
8.56s,8.99,415.23,0.00,406.24,1,7.93,120.00,0.06,120.00,7.94,8.99
8.26s,8.93,424.16,0.00,415.23,1,7.51,120.00,0.06,120.00,7.53,8.93
7.69s,8.51,432.67,0.00,424.16,1,7.46,120.00,0.06,120.00,7.45,8.51
7.99s,14.91,447.58,0.00,432.67,1,7.16,120.00,0.00,120.00,7.17,14.91
8.09s,8.16,455.74,0.00,447.58,1,8.30,120.00,0.04,120.00,8.16,8.16
8.41s,8.30,464.04,0.00,455.74,1,8.10,120.00,0.06,120.00,8.11,8.30
8.56s,8.10,472.14,0.00,464.04,1,8.00,120.00,0.05,120.00,8.01,8.10
8.12s,8.00,480.15,0.00,472.14,1,7.89,120.00,0.06,120.00,7.94,8.00
