time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
6.33s,6.00,6.00,0.00,6.00,0,6.00,120.00,0.06,120.00,0.00,0.00
5.02s,7.00,13.00,0.00,13.00,0,7.00,120.00,0.06,120.00,0.00,0.00
4.15s,8.00,21.00,0.00,21.00,0,8.00,120.00,0.06,120.00,0.00,0.00
3.80s,9.00,30.00,0.00,30.00,0,9.00,120.00,0.06,120.00,0.00,0.00
3.52s,10.00,40.00,0.00,40.00,0,10.00,120.00,0.06,120.00,0.00,0.00
3.63s,11.00,51.00,0.00,51.00,0,11.00,120.00,0.06,120.00,0.00,0.00
3.75s,12.00,63.00,0.00,63.00,0,12.00,120.00,0.06,120.00,0.00,0.00
3.80s,13.00,76.00,0.00,76.00,0,13.00,120.00,0.06,120.00,0.00,0.00
3.71s,14.00,90.00,0.00,90.00,0,14.00,120.00,0.06,120.00,0.00,0.00
3.65s,15.00,105.00,0.00,105.00,0,15.00,120.00,0.06,120.00,0.00,0.00
3.51s,16.00,121.00,0.00,121.00,0,16.00,120.00,0.06,120.00,0.00,0.00
3.84s,17.00,138.00,0.00,138.00,0,17.00,120.00,0.06,120.00,0.00,0.00
3.79s,18.00,156.00,0.00,156.00,0,18.00,120.00,0.06,120.00,0.00,0.00
3.72s,19.00,175.00,0.00,175.00,0,19.00,120.00,0.06,120.00,0.00,0.00
3.67s,20.00,195.00,0.00,195.00,0,20.00,120.00,0.06,120.00,0.00,0.00
3.69s,21.00,216.00,0.00,215.00,0,20.02,120.00,0.06,120.00,0.06,1.00
3.88s,21.02,237.02,0.00,235.00,0,20.03,120.00,0.06,120.00,1.01,2.02
4.24s,21.03,258.05,0.00,255.00,0,20.02,120.00,0.06,120.00,2.05,3.05
4.65s,21.02,279.07,0.00,275.00,0,20.02,120.00,0.06,120.00,3.05,4.07
6.15s,21.02,300.09,0.00,295.00,0,19.79,120.00,0.00,120.00,3.82,5.09
6.49s,20.79,320.88,0.00,315.00,0,19.50,120.00,0.06,120.00,4.59,5.88
6.73s,20.50,341.38,0.00,335.00,0,19.26,120.00,0.06,120.00,5.14,6.38
6.51s,20.26,361.64,0.00,355.00,0,18.99,120.00,0.06,120.00,5.40,6.64
6.66s,19.99,381.63,0.00,375.00,0,18.75,120.00,0.06,120.00,5.38,6.63
5.42s,19.75,401.38,0.00,395.00,0,18.55,120.00,0.06,120.00,5.18,6.38
6.65s,19.55,420.93,0.00,415.00,0,18.43,120.00,0.06,120.00,4.82,5.93
5.52s,19.43,440.36,0.00,435.00,0,18.36,120.00,0.06,120.00,4.27,5.36
6.65s,19.36,459.72,0.00,455.00,0,18.34,120.00,0.06,120.00,3.72,4.72
5.87s,19.34,479.06,0.00,475.00,0,18.42,120.00,0.06,120.00,3.14,4.06
6.02s,19.42,498.48,0.00,495.00,0,18.53,120.00,0.06,120.00,2.61,3.48
6.52s,19.53,518.02,0.00,515.00,0,18.66,120.00,0.06,120.00,2.17,3.02
5.28s,19.66,537.68,0.00,535.00,0,18.85,120.00,0.06,120.00,1.84,2.68
5.56s,19.85,557.53,0.00,555.00,0,19.01,120.00,0.06,120.00,1.70,2.53
5.59s,20.01,577.53,0.00,575.00,0,19.15,120.00,0.02,120.00,1.66,2.53
5.36s,20.15,597.68,0.00,595.00,0,19.27,120.00,0.06,120.00,1.80,2.68
5.61s,20.27,617.95,0.00,615.00,0,19.36,120.00,0.06,120.00,2.03,2.95
5.16s,20.36,638.30,0.00,635.00,0,19.39,120.00,0.06,120.00,2.32,3.30
6.32s,20.39,658.70,0.00,655.00,0,19.40,120.00,0.06,120.00,2.72,3.70
6.37s,20.40,679.10,0.00,675.00,0,19.36,120.00,0.04,120.00,3.05,4.10
5.45s,20.36,699.46,0.00,695.00,0,19.29,120.00,0.06,120.00,3.38,4.46
6.01s,20.29,719.75,0.00,715.00,0,19.21,120.00,0.06,120.00,3.63,4.75
5.52s,20.21,739.95,0.00,735.00,0,19.09,120.00,0.06,120.00,3.83,4.95
5.49s,20.09,760.04,0.00,755.00,0,18.98,120.00,0.06,120.00,3.94,5.04
6.46s,19.98,780.02,0.00,775.00,0,18.91,120.00,0.06,120.00,3.96,5.02
6.66s,19.91,799.93,0.00,795.00,0,18.85,120.00,0.06,120.00,3.85,4.93
6.28s,19.85,819.77,0.00,815.00,0,18.76,120.00,0.06,120.00,3.69,4.77
5.41s,19.76,839.54,0.00,835.00,0,18.77,120.00,0.06,120.00,3.55,4.54
6.19s,19.77,859.31,0.00,855.00,0,18.75,120.00,0.06,120.00,3.30,4.31
5.69s,19.75,879.06,0.00,875.00,0,18.77,120.00,0.06,120.00,3.11,4.06
6.47s,19.77,898.83,0.00,895.00,0,18.84,120.00,0.06,120.00,2.87,3.83
5.26s,19.84,918.67,0.00,915.00,0,18.88,120.00,0.06,120.00,2.69,3.67
6.43s,19.88,938.55,0.00,935.00,0,18.95,120.00,0.06,120.00,2.61,3.55
6.33s,19.95,958.50,0.00,955.00,0,18.99,120.00,0.06,120.00,2.57,3.50
5.73s,19.99,978.48,0.00,975.00,0,19.05,120.00,0.06,120.00,2.56,3.48
5.26s,20.05,998.53,0.00,995.00,0,19.09,120.00,0.06,120.00,2.59,3.53
5.65s,20.09,1018.62,0.00,1015.00,0,19.15,120.00,0.06,120.00,2.66,3.62
6.59s,20.15,1038.77,0.00,1035.00,0,19.15,120.00,0.06,120.00,2.77,3.77
5.39s,20.15,1058.91,0.00,1055.00,0,19.15,120.00,0.06,120.00,2.94,3.91
6.48s,20.15,1079.07,0.00,1075.00,0,19.12,120.00,0.06,120.00,3.05,4.07
6.34s,20.12,1099.19,0.00,1095.00,0,19.13,120.00,0.06,120.00,3.18,4.19
6.43s,20.13,1119.32,0.00,1115.00,0,19.06,120.00,0.06,120.00,3.27,4.32
5.93s,20.06,1139.38,0.00,1135.00,0,19.04,120.00,0.06,120.00,3.36,4.38
5.39s,20.04,1159.42,0.00,1155.00,0,19.02,120.00,0.06,120.00,3.38,4.42
5.37s,20.02,1179.43,0.00,1175.00,0,18.98,120.00,0.06,120.00,3.40,4.43
6.35s,19.98,1199.42,0.00,1195.00,0,18.95,120.00,0.06,120.00,3.38,4.42
6.73s,19.95,1219.37,0.00,1215.00,0,18.92,120.00,0.06,120.00,3.34,4.37
5.79s,19.92,1239.29,0.00,1235.00,0,18.91,120.00,0.06,120.00,3.28,4.29
6.04s,19.91,1259.19,0.00,1255.00,0,18.91,120.00,0.06,120.00,3.21,4.19
6.42s,19.91,1279.10,0.00,1275.00,0,18.93,120.00,0.06,120.00,3.11,4.10
5.51s,19.93,1299.04,0.00,1295.00,0,18.94,120.00,0.06,120.00,3.03,4.04
6.47s,19.94,1318.98,0.00,1315.00,0,18.96,120.00,0.06,120.00,2.99,3.98
6.54s,19.96,1338.94,0.00,1335.00,0,18.97,120.00,0.06,120.00,2.96,3.94
6.00s,19.97,1358.91,0.00,1355.00,0,18.98,120.00,0.06,120.00,2.93,3.91
