time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
4.17s,20.72,2040.59,123.98,1817.00,3,19.80,33.00,49.51,119.95
8.18s,19.80,2060.39,123.98,1838.00,3,18.10,30.08,45.21,119.96
7.95s,18.10,2078.49,124.13,1867.65,4,19.38,32.26,52.08,119.94
5.43s,38.77,2117.26,126.50,1890.76,4,19.03,31.70,52.78,119.96
5.70s,38.06,2155.32,129.10,1912.49,3,19.10,31.80,49.67,119.97
6.98s,20.10,2175.43,129.10,1937.00,3,19.80,32.96,49.54,119.94
4.26s,20.80,2196.23,129.10,1958.00,3,18.07,30.11,45.56,119.94
7.61s,36.14,2232.37,129.10,1986.22,4,19.10,31.81,51.01,119.95
4.41s,20.10,2252.47,129.10,2007.07,4,18.93,31.48,49.09,119.94
6.40s,19.93,2272.40,129.10,2027.12,4,18.04,30.04,46.10,119.95
4.37s,19.04,2291.45,135.37,2057.00,4,19.83,32.98,52.94,119.94
7.19s,39.65,2331.10,135.45,2077.00,4,18.18,30.23,49.93,119.94
6.74s,18.18,2349.28,135.47,2097.00,4,17.99,29.94,46.61,119.95
8.27s,35.97,2385.25,135.97,2117.00,4,18.01,29.91,44.96,119.96
10.67s,18.01,2403.26,135.97,2137.21,4,16.07,26.71,40.24,119.96
15.30s,16.07,2419.33,135.97,2157.21,4,16.04,26.70,40.23,119.94
7.88s,17.04,2436.37,135.97,2177.21,5,16.05,26.72,40.14,119.97
8.61s,17.05,2453.42,152.57,2197.21,4,16.05,26.73,40.13,119.95
14.57s,16.05,2469.47,165.55,2217.21,5,16.03,26.63,40.03,119.96
6.07s,17.03,2486.50,165.55,2237.21,4,16.03,26.63,40.03,119.95
8.55s,16.03,2502.52,182.12,2272.30,2,19.02,29.96,54.14,119.94
