time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
135.84ms,6.97,6.97,0.00,0.00,0,5.00,120.00,0.06,120.00,5.01,6.97
104.73ms,1.00,7.97,0.00,6.97,1,5.04,120.00,0.06,120.00,1.00,1.00
93.65ms,1.00,8.97,0.00,7.97,1,5.01,120.00,0.06,120.00,1.00,1.00
73.68ms,8.96,17.94,0.00,8.97,1,5.01,120.00,0.06,120.00,7.00,8.96
75.97ms,1.00,18.94,0.00,17.96,0,5.00,120.00,0.06,120.00,0.06,0.98
84.36ms,1.00,19.94,0.00,18.95,0,5.00,120.00,0.06,120.00,0.99,0.99
80.78ms,10.96,30.89,0.00,19.94,0,5.01,120.00,0.06,120.00,8.98,10.95
82.18ms,1.00,31.89,0.00,30.90,0,5.51,120.00,0.06,120.00,0.06,1.00
81.63ms,1.00,32.89,0.00,31.90,0,5.52,120.00,0.06,120.00,1.00,1.00
81.89ms,12.95,45.84,0.00,32.89,1,5.48,120.00,0.06,120.00,10.97,12.95
89.15ms,1.00,46.84,0.00,45.84,1,6.47,120.00,0.06,120.00,1.00,1.00
76.06ms,1.00,47.84,0.00,46.84,1,6.53,120.00,0.06,120.00,1.00,1.00
86.32ms,14.94,62.79,0.00,47.84,1,6.48,120.00,0.06,120.00,12.96,14.94
78.90ms,1.00,63.79,0.00,62.79,1,7.47,120.00,0.06,120.00,1.00,1.00
68.81ms,1.00,64.79,0.00,63.79,1,7.48,120.00,0.06,120.00,1.00,1.00
84.67ms,16.93,81.72,0.00,64.79,1,7.52,120.00,0.04,120.00,14.95,16.93
89.27ms,1.00,82.72,0.00,81.72,1,8.47,120.00,0.06,120.00,1.00,1.00
72.71ms,1.00,83.72,0.00,82.72,1,8.47,120.00,0.06,120.00,1.00,1.00
84.34ms,18.93,102.64,0.00,83.72,1,8.49,120.00,0.06,120.00,16.96,18.93
85.29ms,1.00,103.64,0.00,102.64,1,9.46,120.00,0.06,120.00,1.00,1.00
74.81ms,1.00,104.64,0.00,103.64,1,9.46,120.00,0.06,120.00,1.00,1.00
86.32ms,20.92,125.56,0.00,104.64,1,9.50,120.00,0.06,120.00,18.96,20.92
108.04ms,1.00,126.56,0.00,124.64,1,10.00,20.00,0.06,120.00,1.02,1.92
84.58ms,1.00,127.56,0.00,126.56,1,10.04,20.00,0.92,120.00,1.00,1.00
93.78ms,22.91,150.47,0.00,127.56,1,10.03,20.98,0.94,120.00,20.94,22.91
112.44ms,1.00,151.47,0.00,147.56,1,10.02,19.99,0.04,120.00,1.04,3.91
83.77ms,1.00,152.47,0.00,151.47,1,10.00,19.99,2.92,120.00,1.00,1.00
95.48ms,24.90,177.38,0.00,152.47,1,10.01,20.96,2.96,120.00,22.96,24.90
