time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
86.85ms,1.00,503.14,0.00,502.14,1,10.04,19.96,4.96,120.00,1.00,1.00
97.36ms,24.96,528.10,0.00,503.14,1,10.04,20.98,4.98,120.00,24.96,24.96
120.60ms,1.00,529.10,0.00,523.18,1,10.04,20.03,0.01,120.00,1.02,5.92
98.41ms,1.00,530.10,0.00,529.13,0,10.02,20.04,4.92,120.00,0.97,0.97
101.57ms,25.02,555.12,0.00,530.11,0,10.02,21.02,4.95,120.00,24.96,25.01
113.13ms,1.00,556.12,0.00,550.13,1,10.02,20.01,0.02,120.00,1.03,5.99
97.99ms,1.00,557.12,0.00,556.14,0,10.01,20.03,4.99,120.00,0.98,0.98
109.08ms,25.02,582.14,0.00,557.13,0,10.01,20.95,5.00,120.00,25.01,25.01
127.06ms,1.00,583.14,0.00,577.15,1,10.01,20.00,0.02,120.00,1.03,6.00
98.45ms,1.00,584.14,0.00,583.16,0,10.05,20.02,5.00,120.00,0.98,0.98
103.24ms,25.02,609.16,0.00,584.15,0,10.05,21.00,5.00,120.00,25.01,25.01
118.63ms,1.00,610.16,0.00,604.18,1,10.02,20.01,0.03,120.00,1.03,5.98
105.55ms,1.00,611.16,0.00,610.16,0,10.02,20.04,4.98,120.00,1.00,1.00
106.52ms,25.02,636.18,0.00,611.16,0,10.06,21.00,5.00,120.00,25.02,25.02
126.91ms,1.00,637.18,0.00,631.20,1,10.02,20.01,0.03,120.00,1.03,5.98
89.59ms,1.00,638.18,0.00,637.18,1,10.06,20.01,5.01,120.00,1.00,1.00
106.83ms,25.02,663.20,0.00,638.18,1,10.06,21.00,5.01,120.00,25.02,25.02
114.82ms,1.00,664.20,0.00,658.18,1,10.02,19.95,0.05,120.00,1.03,6.02
88.17ms,1.00,665.20,0.00,664.20,1,10.00,19.99,5.04,120.00,1.00,1.00
103.93ms,24.96,690.16,0.00,665.20,1,10.01,20.99,5.03,120.00,24.96,24.96
116.32ms,1.00,691.16,0.00,685.20,1,10.04,19.96,0.04,120.00,1.02,5.96
88.24ms,1.00,692.16,0.00,691.16,1,10.04,19.98,4.98,120.00,1.00,1.00
102.93ms,24.96,717.12,0.00,692.16,1,10.04,20.98,4.98,120.00,24.96,24.96
112.15ms,1.00,718.12,0.00,712.16,1,10.02,19.99,0.01,120.00,1.02,5.96
87.42ms,1.00,719.12,0.00,718.12,1,10.00,19.99,4.97,120.00,1.00,1.00
101.29ms,24.96,744.08,0.00,719.12,1,10.04,20.96,4.96,120.00,24.96,24.96
119.28ms,1.00,745.08,0.00,739.12,1,10.02,19.99,0.01,120.00,1.02,5.96
88.56ms,1.00,746.08,0.00,745.08,1,10.00,19.99,4.97,120.00,1.00,1.00
98.64ms,24.96,771.04,0.00,746.08,1,10.00,20.98,4.98,120.00,24.96,24.96
118.76ms,1.00,772.04,0.00,766.08,1,10.04,19.96,0.04,120.00,1.02,5.96
84.83ms,1.00,773.04,0.00,772.04,1,10.04,19.98,4.98,120.00,1.00,1.00
97.59ms,24.96,798.00,0.00,773.04,1,10.04,20.98,4.98,120.00,24.96,24.96
124.57ms,1.00,799.00,0.00,793.04,1,10.02,19.99,0.01,120.00,1.02,5.96
87.66ms,1.00,800.00,0.00,799.00,1,10.04,19.96,4.96,120.00,1.00,1.00
101.20ms,24.96,824.96,0.00,800.00,1,10.04,20.96,4.96,120.00,24.96,24.96
