time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
5.13s,16.00,1650.86,28.24,1573.00,2,16.00,26.66,39.04,119.96
4.43s,16.00,1666.86,28.24,1593.00,2,16.00,26.66,36.62,119.96
2.34s,17.00,1683.86,28.24,1613.00,2,16.01,26.66,33.63,119.96
2.51s,32.01,1715.88,28.24,1633.00,2,16.00,26.66,29.67,119.97
2.02s,17.00,1732.88,28.24,1653.00,2,16.00,26.66,25.67,119.97
3.44s,32.00,1764.88,28.24,1673.00,2,16.00,26.66,22.68,119.94
5.42s,16.00,1780.88,28.24,1693.00,2,16.03,26.64,34.66,119.97
3.70s,32.06,1812.94,28.24,1713.00,2,16.00,26.66,31.68,119.97
4.84s,32.00,1844.94,28.24,1733.00,3,16.02,26.64,40.02,119.95
6.21s,17.02,1861.95,28.24,1753.00,2,16.00,26.66,39.00,119.96
5.17s,32.00,1893.95,28.24,1773.00,3,16.00,26.66,40.00,119.96
3.88s,17.00,1910.95,28.24,1793.00,3,16.00,26.66,40.04,119.97
5.34s,32.01,1942.96,28.24,1813.00,4,16.02,26.64,40.02,119.94
6.87s,32.03,1974.99,29.96,1833.00,3,16.02,26.64,40.04,119.96
7.41s,17.02,1992.01,29.96,1853.00,4,16.03,26.62,40.01,119.96
9.71s,16.03,2008.04,29.96,1873.00,4,16.02,26.62,40.03,119.97
8.52s,16.02,2024.06,37.95,1893.00,4,16.01,26.62,40.03,119.96
9.19s,16.01,2040.07,41.99,1913.00,4,16.00,26.62,40.00,119.95
5.53s,16.00,2056.07,42.99,1933.00,4,16.00,26.66,40.01,119.95
4.85s,17.00,2073.07,50.99,1953.00,4,16.02,26.64,40.02,119.94
7.55s,32.03,2105.10,51.06,1973.00,4,16.03,26.64,40.04,119.96
