time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
8.47s,25.95,1462.10,113.38,1258.79,3,12.54,20.84,31.27,119.95
7.79s,25.07,1487.17,113.38,1276.27,3,12.13,20.16,32.62,119.96
8.09s,13.13,1500.30,113.38,1295.68,4,13.08,21.79,36.89,119.96
4.93s,14.08,1514.38,113.80,1310.34,4,13.38,22.22,34.39,119.96
8.26s,13.38,1527.75,125.81,1323.65,4,12.97,21.59,32.46,119.96
6.81s,12.97,1540.73,138.45,1338.81,4,12.51,20.80,31.27,119.96
6.72s,25.02,1565.75,145.02,1356.28,3,12.12,20.20,32.65,119.96
5.24s,24.25,1589.99,145.02,1375.72,3,13.09,21.76,36.96,119.94
3.93s,14.09,1604.08,145.02,1390.34,3,13.34,22.19,34.38,119.94
5.87s,13.34,1617.42,145.02,1403.65,3,12.97,21.59,32.44,119.95
3.35s,13.97,1631.39,145.02,1418.83,4,12.51,20.81,31.29,119.96
3.51s,13.51,1644.90,146.92,1436.28,4,12.16,20.14,32.64,119.96
5.92s,24.32,1669.22,153.72,1455.72,3,13.08,21.79,36.89,119.96
3.67s,14.08,1683.29,153.72,1470.34,3,13.34,22.18,34.38,119.97
9.37s,13.34,1696.63,153.72,1483.67,3,12.97,21.61,32.43,119.96
7.64s,12.97,1709.60,153.72,1498.83,3,12.51,20.80,31.32,119.94
4.54s,13.51,1723.12,153.72,1516.29,3,12.16,20.19,32.62,119.97
3.90s,13.16,1736.28,153.82,1535.72,3,13.10,21.75,36.91,119.96
4.90s,13.10,1749.37,153.82,1550.34,3,13.35,22.19,34.35,119.96
5.48s,26.70,1776.08,153.82,1563.70,3,12.99,21.59,32.46,119.96
