time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
3.32s,33.67,393.67,0.00,360.00,1,15.83,1000.00,5.00,1000.00,0.00,17.83,33.67,33.67
1.62s,1.00,394.67,0.00,393.67,1,16.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.45s,15.83,410.50,0.00,394.67,1,16.83,1000.00,5.00,1000.00,0.00,0.00,15.83,15.83
3.32s,35.67,446.17,0.00,410.50,1,16.83,1000.00,5.00,1000.00,0.00,18.83,35.67,35.67
1.63s,1.00,447.17,0.00,446.17,1,17.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.47s,16.83,464.00,0.00,447.17,1,17.83,1000.00,5.00,1000.00,0.00,0.00,16.83,16.83
3.34s,37.67,501.67,0.00,464.00,1,17.83,1000.00,5.00,1000.00,0.00,19.83,37.67,37.67
1.61s,1.00,502.67,0.00,501.67,1,18.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.48s,17.83,520.50,0.00,502.67,1,18.83,1000.00,5.00,1000.00,0.00,0.00,17.83,17.83
3.38s,39.67,560.17,0.00,520.50,1,18.83,1000.00,5.00,1000.00,0.00,20.83,39.67,39.67
1.62s,1.00,561.17,0.00,560.17,1,19.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.68s,18.83,580.00,0.00,561.17,1,19.83,1000.00,5.00,1000.00,0.00,0.00,18.83,18.83
3.50s,41.67,621.67,0.00,580.00,1,19.83,1000.00,5.00,1000.00,0.00,21.83,41.67,41.67
1.62s,1.00,622.67,0.00,620.00,2,20.00,40.00,5.00,1000.00,0.00,2.67,2.67,2.67
5.79s,41.00,663.67,0.00,622.67,1,20.00,40.00,5.00,1000.00,1.00,23.67,41.00,41.00
56.00s,22.00,685.67,0.00,662.67,2,20.67,40.00,5.00,1000.00,0.00,23.00,23.00,23.00
4.16s,22.67,708.33,0.00,685.67,1,21.13,42.67,5.00,1000.00,0.00,22.67,22.67,22.67
2.55s,23.00,731.33,0.00,708.33,1,21.42,43.67,5.00,1000.00,0.00,23.00,23.00,23.00
2.80s,23.42,754.75,0.00,731.33,1,21.73,1000.00,5.00,1000.00,0.00,23.42,23.42,23.42
2.56s,19.17,773.92,0.00,754.75,1,18.42,1000.00,5.00,1000.00,0.00,19.17,19.17,19.17
2.89s,19.27,793.19,0.00,773.92,1,17.65,1000.00,5.00,1000.00,0.00,19.27,19.27,19.27
2.71s,18.40,811.58,0.00,793.19,1,16.97,1000.00,5.00,1000.00,0.00,18.40,18.40,18.40
2.72s,17.46,829.05,0.00,811.58,1,16.05,1000.00,5.00,1000.00,0.00,17.46,17.46,17.46
2.87s,16.21,845.26,0.00,829.05,1,14.86,1000.00,5.00,1000.00,0.00,16.21,16.21,16.21
2.80s,15.78,861.04,0.00,845.26,1,14.27,1000.00,5.00,1000.00,0.00,15.78,15.78,15.78
2.77s,15.02,876.05,0.00,861.04,1,13.57,1000.00,5.00,1000.00,0.00,15.02,15.02,15.02
