time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
6.15s,25.96,2194.34,643.05,1519.32,1,16.02,19.98,10.03,29.99
8.12s,32.03,2226.37,643.05,1539.34,1,16.03,26.65,10.01,29.97
7.45s,32.05,2258.43,645.02,1559.34,1,16.02,26.64,10.00,41.98
10.83s,32.04,2290.46,657.05,1579.32,1,16.04,25.99,10.03,38.98
10.75s,32.08,2322.54,669.10,1599.32,1,16.01,26.00,10.03,38.94
11.26s,32.01,2354.55,681.14,1619.32,1,16.01,26.00,10.03,38.94
11.66s,32.02,2386.57,693.22,1639.32,1,16.00,26.00,10.01,38.98
11.06s,31.99,2418.56,705.23,1659.32,1,16.02,26.01,10.00,38.99
12.19s,16.02,2434.58,717.25,1679.32,1,16.02,25.97,10.01,38.96
6.19s,25.97,2460.54,729.24,1699.37,1,16.02,20.00,10.02,29.94
7.86s,20.00,2480.54,729.24,1719.35,1,16.03,26.65,10.01,29.97
7.32s,32.05,2512.60,731.22,1739.37,1,16.01,23.98,9.99,29.90
8.32s,23.98,2536.58,731.22,1759.32,1,16.01,26.63,10.02,29.93
8.55s,16.01,2552.59,743.28,1779.32,1,15.99,21.98,10.00,33.94
9.41s,31.98,2584.57,747.26,1799.32,1,15.99,19.96,10.00,29.93
8.52s,31.99,2616.56,755.25,1819.32,1,15.99,19.95,10.00,29.92
10.96s,16.99,2633.55,755.25,1839.32,1,16.02,26.66,10.05,29.98
6.30s,26.66,2660.21,767.24,1859.32,1,20.00,20.00,10.02,29.97
8.22s,21.00,2681.21,770.89,1879.32,1,16.00,19.96,10.02,29.95
8.89s,32.00,2713.21,771.89,1899.32,1,16.00,25.65,9.02,29.99
7.96s,17.00,2730.21,784.89,1918.33,1,15.80,19.97,9.50,28.97
