time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
8.63s,7.98,1574.03,197.12,1280.45,5,14.99,20.04,30.14,119.96
44.87s,29.99,1604.02,197.12,1300.25,5,13.35,19.95,33.23,119.96
34.45s,13.35,1617.36,215.56,1320.25,5,13.27,20.00,39.83,119.97
18.78s,26.54,1643.90,226.55,1340.19,3,14.93,20.01,39.94,119.96
12.23s,29.87,1673.77,226.55,1360.14,3,15.97,26.55,39.94,119.96
10.89s,31.94,1705.70,226.55,1360.47,4,14.98,20.07,30.15,119.97
29.00s,7.49,1713.19,237.11,1380.25,4,13.32,19.99,33.20,119.95
23.53s,19.99,1733.18,237.11,1400.25,4,13.27,19.98,39.78,119.94
16.71s,14.27,1747.45,243.65,1420.21,4,14.93,20.01,39.98,119.96
19.30s,29.87,1777.32,253.56,1440.17,4,15.95,26.52,39.97,119.95
11.69s,16.95,1794.27,253.56,1440.47,4,15.02,20.07,30.15,119.97
29.03s,7.51,1801.78,253.56,1460.25,4,13.34,20.00,33.24,119.97
38.31s,14.34,1816.12,267.90,1480.25,3,13.27,19.98,39.78,119.96
11.71s,26.53,1842.65,267.90,1500.24,4,14.94,20.02,40.01,119.94
10.03s,29.88,1872.53,274.10,1520.17,4,15.94,26.56,39.97,119.96
11.45s,15.94,1888.48,274.10,1520.47,4,15.02,20.03,30.13,119.95
30.97s,7.51,1895.98,275.87,1540.25,4,13.32,19.95,33.22,119.96
26.01s,19.95,1915.94,275.87,1560.25,4,13.31,19.97,39.80,119.96
10.61s,19.97,1935.91,282.40,1580.24,4,14.96,19.99,40.01,119.94
13.81s,15.96,1951.86,288.42,1600.20,3,15.95,26.56,39.99,119.96
