time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
19.62s,1.00,548.69,0.00,545.19,1,10.91,19.68,2.83,120.00,0.00,3.14,1.75,3.50
35.96s,22.50,571.19,0.00,548.77,0,11.07,21.47,2.50,120.00,0.84,15.08,20.67,22.42
17.38s,1.00,572.19,0.00,568.77,1,10.90,19.85,2.65,120.00,0.00,3.10,1.71,3.42
38.84s,22.50,594.69,0.00,572.23,0,10.86,21.33,2.45,120.00,0.82,14.86,20.71,22.46
18.67s,1.00,595.69,0.00,592.25,1,11.00,19.77,2.75,120.00,0.00,3.15,2.15,3.44
35.97s,22.50,618.19,0.00,595.71,0,11.00,21.47,2.44,120.00,0.83,14.98,20.72,22.48
19.30s,1.00,619.19,0.00,615.74,1,11.01,19.78,2.75,120.00,0.00,3.11,1.73,3.45
38.82s,22.50,641.69,0.00,619.20,0,11.22,21.75,2.45,120.00,0.85,14.91,21.08,22.49
19.63s,1.00,642.69,0.00,639.24,1,11.01,19.78,2.75,120.00,0.00,3.08,2.16,3.46
34.81s,22.50,665.19,0.00,642.69,1,10.96,21.61,2.52,120.00,0.80,14.93,21.09,22.50
17.88s,1.00,666.19,0.00,662.69,1,11.06,19.90,2.65,120.00,0.00,3.14,1.75,3.50
39.49s,22.50,688.69,0.00,666.19,1,10.90,21.36,2.50,120.00,0.80,14.94,21.09,22.50
18.23s,1.00,689.69,0.00,686.19,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
37.85s,22.50,712.19,0.00,689.69,1,10.96,21.42,2.50,120.00,0.86,14.96,21.09,22.50
17.47s,1.00,713.19,0.00,709.69,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
34.70s,22.50,735.69,0.00,713.19,1,10.89,21.67,2.50,120.00,0.80,14.95,21.09,22.50
18.28s,1.00,736.69,0.00,733.19,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
37.55s,22.50,759.19,0.00,736.69,1,11.02,21.48,2.50,120.00,0.80,14.95,21.09,22.50
18.23s,1.00,760.19,0.00,756.69,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
38.95s,22.50,782.69,0.00,760.19,1,11.02,21.48,2.50,120.00,0.86,14.96,21.09,22.50
19.31s,1.00,783.69,0.00,780.19,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
38.70s,22.50,806.19,0.00,783.94,0,10.90,21.36,2.50,120.00,0.84,15.05,20.51,22.25
17.84s,1.00,807.19,0.00,803.87,1,10.92,19.87,2.63,120.00,0.00,3.05,1.66,3.32
