time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
1.62s,1.00,177.17,0.00,176.17,1,11.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.39s,10.83,188.00,0.00,177.17,1,11.83,1000.00,5.00,1000.00,0.00,0.00,10.83,10.83
3.22s,25.67,213.67,0.00,188.00,1,11.83,1000.00,5.00,1000.00,0.00,13.83,25.67,25.67
1.63s,1.00,214.67,0.00,213.67,1,12.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.39s,11.83,226.50,0.00,214.67,1,12.83,1000.00,5.00,1000.00,0.00,0.00,11.83,11.83
3.22s,27.67,254.17,0.00,226.50,1,12.83,1000.00,5.00,1000.00,0.00,14.83,27.67,27.67
1.72s,1.00,255.17,0.00,254.17,1,13.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.43s,12.83,268.00,0.00,255.17,1,13.83,1000.00,5.00,1000.00,0.00,0.00,12.83,12.83
3.32s,29.67,297.67,0.00,268.00,1,13.83,1000.00,5.00,1000.00,0.00,15.83,29.67,29.67
1.63s,1.00,298.67,0.00,297.67,1,14.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.42s,13.83,312.50,0.00,298.67,1,14.83,1000.00,5.00,1000.00,0.00,0.00,13.83,13.83
3.34s,31.67,344.17,0.00,312.50,1,14.83,1000.00,5.00,1000.00,0.00,16.83,31.67,31.67
1.62s,1.00,345.17,0.00,344.17,1,15.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.45s,14.83,360.00,0.00,345.17,1,15.83,1000.00,5.00,1000.00,0.00,0.00,14.83,14.83
3.33s,33.67,393.67,0.00,360.00,1,15.83,1000.00,5.00,1000.00,0.00,17.83,33.67,33.67
1.63s,1.00,394.67,0.00,393.67,1,16.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.45s,15.83,410.50,0.00,394.67,1,16.83,1000.00,5.00,1000.00,0.00,0.00,15.83,15.83
3.34s,35.67,446.17,0.00,410.50,1,16.83,1000.00,5.00,1000.00,0.00,18.83,35.67,35.67
1.65s,1.00,447.17,0.00,446.17,1,17.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.48s,16.83,464.00,0.00,447.17,1,17.83,1000.00,5.00,1000.00,0.00,0.00,16.83,16.83
3.36s,37.67,501.67,0.00,464.00,1,17.83,1000.00,5.00,1000.00,0.00,19.83,37.67,37.67
1.61s,1.00,502.67,0.00,501.67,1,18.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.48s,17.83,520.50,0.00,502.67,1,18.83,1000.00,5.00,1000.00,0.00,0.00,17.83,17.83
3.39s,39.67,560.17,0.00,520.50,1,18.83,1000.00,5.00,1000.00,0.00,20.83,39.67,39.67
1.63s,1.00,561.17,0.00,560.17,1,19.83,1000.00,5.00,1000.00,0.00,1.00,1.00,1.00
2.70s,18.83,580.00,0.00,561.17,1,19.83,1000.00,5.00,1000.00,0.00,0.00,18.83,18.83
3.52s,41.67,621.67,0.00,580.00,1,19.83,1000.00,5.00,1000.00,0.00,21.83,41.67,41.67
1.62s,1.00,622.67,0.00,620.00,2,20.00,40.00,5.00,1000.00,0.00,2.67,2.67,2.67
5.80s,41.00,663.67,0.00,622.67,1,20.00,40.00,5.00,1000.00,1.00,23.67,41.00,41.00
