time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
10.51s,7.46,856.94,180.00,669.50,0,7.88,120.00,0.06,120.00,6.51,7.44
7.73s,3.94,860.88,180.00,676.95,0,7.92,120.00,0.06,120.00,3.93,3.93
6.71s,8.92,869.80,180.00,680.92,0,6.28,120.00,0.06,120.00,8.57,8.89
20.33s,7.28,877.08,180.00,689.83,0,6.00,120.00,0.06,120.00,5.04,7.24
14.55s,7.00,884.08,180.00,697.08,0,5.56,120.00,0.06,120.00,4.54,7.00
11.76s,5.56,889.64,180.00,704.08,1,5.83,120.00,0.06,120.00,5.56,5.56
6.05s,11.66,901.29,180.00,709.66,0,5.81,120.00,0.04,120.00,6.04,11.63
10.33s,2.91,904.20,180.00,721.31,0,6.33,120.00,0.06,120.00,1.94,2.89
13.00s,12.66,916.86,180.00,724.23,0,6.09,120.00,0.06,120.00,9.23,12.63
18.24s,6.09,922.95,180.00,736.90,0,6.84,120.00,0.06,120.00,5.11,6.05
17.13s,6.84,929.79,180.00,742.96,0,6.81,120.00,0.06,120.00,6.84,6.84
12.62s,7.81,937.60,180.00,749.81,0,6.43,120.00,0.06,120.00,6.27,7.79
9.50s,7.43,945.03,180.00,757.60,0,6.71,120.00,0.06,120.00,5.69,7.43
10.91s,7.71,952.74,180.00,765.04,0,5.67,120.00,0.06,120.00,4.64,7.71
15.50s,6.67,959.41,180.00,772.75,0,5.96,120.00,0.06,120.00,5.00,6.67
10.51s,6.96,966.37,180.00,779.41,0,5.93,120.00,0.06,120.00,5.22,6.96
10.94s,6.93,973.30,180.00,786.37,0,5.75,120.00,0.00,120.00,4.76,6.93
12.42s,6.75,980.05,180.00,793.30,0,5.66,120.00,0.06,120.00,4.70,6.75
10.19s,6.66,986.71,180.00,800.05,0,5.48,120.00,0.06,120.00,4.48,6.66
11.65s,6.48,993.20,180.00,806.71,0,5.48,120.00,0.06,120.00,4.51,6.48
11.22s,6.48,999.68,180.00,813.20,0,5.39,120.00,0.06,120.00,4.41,6.48
11.36s,6.39,1006.07,180.00,819.68,0,5.30,120.00,0.06,120.00,4.29,6.39
10.10s,6.30,1012.37,180.00,826.07,0,5.23,120.00,0.06,120.00,4.24,6.30
11.16s,6.23,1018.60,180.00,832.37,0,5.16,120.00,0.06,120.00,4.14,6.23
11.17s,6.16,1024.77,180.00,838.61,0,5.12,120.00,0.06,120.00,4.10,6.16
10.36s,6.12,1030.89,180.00,844.77,0,5.05,120.00,0.06,120.00,4.06,6.12
11.15s,6.05,1036.94,180.00,850.89,0,5.00,120.00,0.06,120.00,4.02,6.05
11.38s,6.00,1042.94,180.00,856.94,0,5.03,120.00,0.06,120.00,4.03,6.00
12.67s,10.07,1053.01,180.00,862.94,0,5.04,120.00,0.06,120.00,4.01,10.07
14.98s,5.04,1058.04,180.00,873.01,0,5.66,120.00,0.06,120.00,4.05,5.04
17.52s,5.66,1063.70,180.00,878.04,0,5.55,120.00,0.03,120.00,5.66,5.66
10.81s,6.55,1070.25,180.00,883.71,0,5.38,120.00,0.06,120.00,5.37,6.55
14.85s,6.38,1076.63,180.00,890.25,0,5.49,120.00,0.06,120.00,4.48,6.38
