time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
6.03s,24.84,1848.97,404.18,1419.95,0,15.23,20.00,10.01,28.57
6.70s,15.23,1864.20,404.18,1439.98,1,15.22,25.31,10.01,28.57
6.47s,30.45,1894.65,404.18,1459.95,1,15.22,25.31,4.88,120.00
5.22s,30.43,1925.08,404.18,1474.79,1,14.49,24.08,6.56,120.00
8.56s,14.49,1939.57,409.86,1494.79,1,14.98,24.94,10.03,37.83
7.88s,14.98,1954.55,420.29,1514.80,1,15.00,20.00,10.04,26.51
5.44s,20.00,1974.55,420.29,1534.29,0,14.89,27.39,10.02,26.21
4.31s,29.79,2004.34,420.29,1554.27,0,15.91,39.99,4.51,120.00
6.46s,16.91,2021.24,420.29,1569.28,1,14.95,24.80,3.65,120.00
6.17s,15.95,2037.19,430.08,1584.28,1,13.95,19.97,7.36,21.84
6.34s,19.97,2057.16,430.08,1604.25,1,14.01,23.31,6.90,20.18
6.63s,28.03,2085.19,430.08,1624.25,1,14.01,23.30,6.90,120.00
6.87s,28.02,2113.20,430.08,1641.16,1,14.38,23.92,4.92,120.00
6.06s,7.19,2120.39,438.05,1657.14,1,14.60,24.00,8.24,33.96
4.63s,7.30,2127.69,446.07,1674.33,0,14.02,19.97,10.00,25.97
4.11s,28.05,2155.74,446.07,1681.63,0,12.55,32.87,10.04,25.93
7.46s,25.10,2180.85,446.07,1701.68,1,12.12,20.16,0.05,120.00
6.66s,13.12,2193.97,446.07,1721.68,1,13.35,21.47,8.04,120.00
5.94s,14.35,2208.32,451.17,1739.68,1,14.52,19.98,9.35,22.64
9.30s,29.03,2237.35,451.17,1757.15,1,15.10,28.98,9.37,27.96
8.75s,30.21,2267.56,451.17,1777.15,1,15.12,25.13,3.12,120.00
