time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
6.97s,21.02,2140.59,541.33,1588.24,0,20.00,20.49,9.00,11.02
12.70s,10.00,2150.59,542.35,1608.24,0,19.77,20.00,9.00,9.98
4.68s,20.00,2170.59,542.35,1628.24,0,20.00,20.00,0.06,9.95
3.20s,20.00,2190.59,542.35,1648.24,0,20.00,29.96,0.06,9.95
3.41s,29.96,2220.56,542.35,1668.24,0,20.01,120.00,0.06,120.00
7.41s,40.02,2260.58,542.35,1688.24,0,20.02,120.00,0.04,120.00
7.08s,40.04,2300.62,562.33,1708.24,0,20.02,29.04,0.92,18.95
5.44s,21.02,2321.64,582.38,1728.24,0,20.03,20.35,9.61,11.01
13.22s,10.02,2331.66,583.40,1748.24,0,17.54,20.00,0.04,10.00
6.74s,20.00,2351.66,583.40,1768.24,0,19.98,19.98,0.04,9.97
3.97s,19.98,2371.64,583.40,1788.24,0,19.99,29.95,0.04,9.98
3.72s,20.99,2392.64,583.40,1808.24,0,20.00,120.00,0.02,120.00
7.00s,40.00,2432.64,594.39,1828.24,0,20.01,28.97,0.06,9.95
6.53s,21.01,2453.64,595.40,1848.24,0,20.03,28.00,0.06,9.95
5.95s,21.03,2474.68,596.43,1868.24,0,20.02,20.50,7.98,9.95
14.38s,10.01,2484.69,596.43,1888.24,0,20.00,20.49,7.53,9.98
4.43s,10.00,2494.69,596.43,1898.26,0,17.03,28.94,0.06,9.96
4.88s,18.03,2512.72,596.43,1916.29,0,18.03,120.00,0.06,120.00
7.95s,36.07,2548.79,596.43,1936.29,0,20.00,120.00,0.06,120.00
7.86s,40.01,2588.80,602.50,1956.29,0,20.02,34.99,0.05,30.00
6.38s,34.99,2623.79,622.51,1976.29,0,20.03,27.50,2.50,18.97
