time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
4.24s,14.12,623.79,0.00,609.67,1,6.88,119.94,0.05,119.94
4.96s,6.88,630.67,0.00,623.79,1,8.64,119.95,0.03,119.95
3.83s,17.28,647.94,0.00,630.67,1,8.65,119.95,0.06,119.94
6.15s,9.65,657.60,0.00,647.94,1,9.57,119.95,0.05,119.94
4.00s,9.57,667.17,0.00,657.60,0,9.62,119.95,0.06,119.94
5.88s,10.62,677.78,0.00,667.17,1,9.14,119.95,0.05,119.94
4.28s,10.14,687.93,0.00,677.78,0,9.46,119.95,0.04,119.95
3.87s,10.46,698.39,0.00,687.93,1,8.00,119.95,0.06,119.94
4.98s,8.00,706.39,0.00,698.39,1,8.16,119.95,0.04,119.94
4.04s,16.32,722.71,0.00,706.39,1,7.87,119.95,0.06,119.94
4.14s,7.87,730.58,0.00,722.71,0,9.02,119.95,0.03,119.94
5.91s,9.02,739.60,0.00,730.58,1,8.70,119.95,0.03,119.94
4.01s,8.70,748.30,0.00,739.60,1,8.30,119.95,0.03,119.95
4.24s,9.30,757.60,0.00,748.30,1,8.41,119.95,0.06,119.94
3.75s,9.41,767.01,0.00,757.60,0,7.01,119.95,0.00,119.94
5.32s,8.01,775.03,0.00,767.01,1,7.32,119.95,0.03,119.94
3.53s,8.32,783.34,0.00,775.03,1,7.09,119.94,0.05,119.94
4.07s,7.09,790.43,0.00,783.34,1,7.03,119.95,0.06,119.94
4.67s,14.07,804.50,0.00,790.43,1,6.59,119.94,0.03,119.94
