time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
15.59s,6.97,6.97,0.00,0.00,0,5.01,120.00,0.06,120.00,0.00,1.94,5.01,6.97
29.50s,6.97,13.95,0.00,6.97,1,5.00,120.00,0.06,120.00,0.00,3.92,5.01,6.97
21.04s,1.08,15.02,0.00,13.95,0,5.00,120.00,0.06,120.00,0.00,0.00,0.10,1.07
19.33s,8.96,23.99,0.00,15.03,0,5.04,120.00,0.06,120.00,0.00,3.99,7.00,8.96
19.90s,1.06,25.04,0.00,23.99,0,5.01,120.00,0.06,120.00,0.00,1.05,0.07,1.05
19.65s,9.96,35.00,0.00,25.04,1,5.02,120.00,0.06,120.00,0.00,5.98,8.95,9.96
19.18s,1.00,36.00,0.00,35.00,1,5.02,120.00,0.06,120.00,0.00,1.00,1.00,1.00
14.47s,10.96,46.96,0.00,36.00,1,5.01,120.00,0.06,120.00,0.00,6.93,9.03,10.96
20.21s,1.00,47.96,0.00,46.96,1,5.48,120.00,0.03,120.00,0.00,0.97,1.00,1.00
16.04s,11.95,59.91,0.00,47.96,1,5.51,120.00,0.06,120.00,0.00,7.44,9.99,11.95
21.75s,1.00,60.91,0.00,59.91,1,5.98,120.00,0.05,120.00,0.00,0.97,1.00,1.00
18.77s,12.95,73.86,0.00,60.91,1,6.02,120.00,0.06,120.00,0.00,7.93,10.97,12.95
23.99s,1.00,74.86,0.00,73.86,1,6.48,120.00,0.04,120.00,0.00,0.97,1.00,1.00
19.15s,13.95,88.81,0.00,74.86,1,6.48,120.00,0.06,120.00,0.00,8.45,11.98,13.95
25.03s,1.00,89.81,0.00,88.81,1,6.98,120.00,0.06,120.00,0.00,0.97,1.00,1.00
18.91s,14.94,104.75,0.00,89.81,1,6.97,120.00,0.00,120.00,0.00,8.96,12.96,14.94
24.19s,1.00,105.75,0.00,104.75,1,7.48,120.00,0.06,120.00,0.00,0.97,1.00,1.00
19.51s,15.94,121.69,0.00,105.75,1,7.47,120.00,0.06,120.00,0.00,9.45,13.95,15.94
24.71s,1.00,122.69,0.00,121.69,1,7.97,120.00,0.05,120.00,0.00,0.97,1.00,1.00
20.07s,16.93,139.62,0.00,122.69,1,7.99,120.00,0.06,120.00,0.00,9.93,14.95,16.93
24.81s,1.00,140.62,0.00,139.62,1,8.47,120.00,0.06,120.00,0.00,0.97,1.00,1.00
20.16s,17.93,158.55,0.00,140.62,1,8.50,120.00,0.06,120.00,0.00,10.41,15.97,17.93
22.80s,1.00,159.55,0.00,158.55,1,9.00,120.00,0.06,120.00,0.00,0.95,1.00,1.00
17.00s,18.93,178.48,0.00,159.55,1,8.99,120.00,0.06,120.00,0.00,10.92,16.96,18.93
22.82s,1.00,179.48,0.00,178.48,1,9.46,120.00,0.03,120.00,0.00,0.97,1.00,1.00
20.69s,19.92,199.40,0.00,179.48,1,9.50,120.00,0.06,120.00,0.00,11.46,17.94,19.92
22.61s,1.00,200.40,0.00,199.40,1,9.96,120.00,0.03,120.00,0.00,0.97,1.00,1.00
16.40s,20.92,221.32,0.00,200.40,1,9.96,120.00,0.06,120.00,0.00,11.93,18.96,20.92
23.69s,1.00,222.32,0.00,220.40,1,10.23,19.97,0.06,120.00,0.00,1.91,1.02,1.92
24.03s,21.45,243.76,0.00,222.32,1,10.26,20.41,0.94,120.00,0.96,13.09,19.48,21.45
24.27s,1.00,244.76,0.00,242.32,1,10.49,19.96,0.92,120.00,0.00,2.40,1.03,2.45
26.89s,21.91,266.68,0.00,244.80,0,10.50,20.95,1.45,120.00,0.97,13.83,19.95,21.88
25.18s,1.00,267.68,0.00,264.77,1,10.61,19.96,1.48,120.00,0.00,2.85,1.23,2.91
37.64s,22.21,289.88,0.00,267.70,0,10.63,21.18,1.91,120.00,1.03,14.49,20.24,22.19
25.21s,1.00,290.88,0.00,287.68,1,10.76,19.99,1.94,120.00,0.00,3.18,1.50,3.20
39.04s,22.44,313.32,0.00,290.89,0,10.72,21.44,2.20,120.00,1.01,14.89,20.46,22.43
25.92s,1.00,314.32,0.00,310.92,1,10.81,19.98,2.20,120.00,0.00,3.37,1.60,3.41
32.87s,22.62,336.94,0.00,314.33,0,10.82,21.58,2.41,120.00,1.03,15.21,20.62,22.61
26.73s,1.00,337.94,0.00,334.34,1,10.89,19.97,2.44,120.00,0.00,3.59,1.75,3.61
30.51s,22.68,360.62,0.00,337.94,0,10.88,21.70,2.61,120.00,1.00,15.40,20.72,22.67
27.55s,1.00,361.62,0.00,357.96,1,10.91,19.97,2.65,120.00,0.00,3.62,1.83,3.66
33.99s,22.79,384.41,0.00,361.62,0,10.91,21.77,2.66,120.00,1.01,15.51,20.83,22.79
28.41s,1.00,385.41,0.00,381.65,1,10.93,19.98,2.71,120.00,0.00,3.73,1.88,3.76
48.64s,22.85,408.26,0.00,385.41,1,10.95,21.85,2.76,120.00,1.02,15.68,20.89,22.85
31.95s,1.00,409.26,0.00,405.45,1,10.97,20.03,2.80,120.00,0.00,3.81,1.91,3.81
31.67s,22.91,432.17,0.00,409.26,1,10.96,21.88,2.81,120.00,1.02,15.76,20.94,22.91
26.62s,1.00,433.17,0.00,429.26,1,10.99,19.95,2.86,120.00,0.00,3.86,1.96,3.91
38.93s,22.91,456.08,0.00,433.17,1,10.98,21.88,2.91,120.00,1.03,15.85,20.94,22.91
23.22s,1.00,457.08,0.00,453.17,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
34.13s,22.91,479.99,0.00,457.08,1,11.00,21.92,2.91,120.00,0.97,15.81,20.98,22.91
24.06s,1.00,480.99,0.00,477.08,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
29.14s,22.91,503.90,0.00,480.99,1,11.02,21.91,2.91,120.00,0.97,15.81,20.98,22.91
23.91s,1.00,504.90,0.00,500.99,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
32.04s,22.91,527.81,0.00,504.90,1,11.00,21.92,2.91,120.00,0.97,15.81,20.98,22.91
25.12s,1.00,528.81,0.00,524.90,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
35.88s,22.91,551.72,0.00,528.81,1,10.99,21.90,2.91,120.00,0.97,15.81,20.98,22.91
23.95s,1.00,552.72,0.00,548.81,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
32.05s,22.91,575.63,0.00,552.72,1,11.00,21.93,2.91,120.00,0.98,15.82,20.98,22.91
23.84s,1.00,576.63,0.00,572.72,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
31.86s,22.91,599.54,0.00,576.63,1,11.00,21.92,2.91,120.00,0.97,15.81,20.98,22.91
26.06s,1.00,600.54,0.00,596.63,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
