time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
10.26s,6.97,6.97,0.00,0.00,0,5.00,120.00,0.06,120.00,0.00,1.94,5.01,6.97
15.21s,6.97,13.95,0.00,6.97,1,5.00,120.00,0.06,120.00,0.00,3.94,5.01,6.97
10.17s,1.06,15.00,0.00,13.97,0,5.00,120.00,0.06,120.00,0.00,0.00,0.06,1.04
12.94s,8.96,23.97,0.00,15.00,1,5.00,120.00,0.06,120.00,0.00,3.91,7.00,8.96
9.74s,1.09,25.06,0.00,23.98,0,5.01,120.00,0.06,120.00,0.00,1.05,0.10,1.08
13.13s,9.96,35.02,0.00,25.06,0,5.00,120.00,0.06,120.00,0.00,5.99,8.94,9.96
10.50s,1.00,36.02,0.00,35.02,0,5.03,120.00,0.06,120.00,0.00,0.94,0.06,1.00
15.12s,10.96,46.97,0.00,36.02,0,5.02,120.00,0.06,120.00,0.00,6.94,9.03,10.96
11.29s,1.00,47.97,0.00,46.97,1,5.52,120.00,0.06,120.00,0.00,0.98,1.00,1.00
10.26s,11.95,59.93,0.00,47.97,1,5.48,120.00,0.06,120.00,0.00,7.43,9.99,11.95
11.30s,1.00,60.93,0.00,59.93,1,5.98,120.00,0.06,120.00,0.00,0.97,1.00,1.00
10.94s,12.95,73.88,0.00,60.93,1,5.99,120.00,0.06,120.00,0.00,7.97,10.97,12.95
11.86s,1.00,74.88,0.00,73.88,1,6.48,120.00,0.04,120.00,0.00,0.97,1.00,1.00
10.42s,13.95,88.82,0.00,74.88,1,6.48,120.00,0.06,120.00,0.00,8.45,11.98,13.95
11.49s,1.00,89.82,0.00,88.82,1,6.98,120.00,0.06,120.00,0.00,0.97,1.00,1.00
10.91s,14.94,104.76,0.00,89.82,1,6.97,120.00,0.00,120.00,0.00,8.96,12.96,14.94
11.25s,1.00,105.76,0.00,104.76,1,7.47,120.00,0.05,120.00,0.00,0.97,1.00,1.00
12.27s,15.94,121.70,0.00,105.76,1,7.53,120.00,0.06,120.00,0.00,9.45,13.95,15.94
11.14s,1.00,122.70,0.00,121.70,1,7.97,120.00,0.06,120.00,0.00,0.97,1.00,1.00
11.04s,16.93,139.63,0.00,122.70,1,7.99,120.00,0.06,120.00,0.00,9.93,14.95,16.93
11.52s,1.00,140.63,0.00,139.63,1,8.50,120.00,0.06,120.00,0.00,0.97,1.00,1.00
10.24s,17.93,158.56,0.00,140.63,1,8.50,120.00,0.06,120.00,0.00,10.41,15.97,17.93
10.86s,1.00,159.56,0.00,158.56,1,8.97,120.00,0.06,120.00,0.00,0.97,1.00,1.00
11.75s,18.93,178.49,0.00,159.56,1,8.99,120.00,0.06,120.00,0.00,10.96,16.96,18.93
11.06s,1.00,179.49,0.00,178.49,1,9.46,120.00,0.03,120.00,0.00,0.97,1.00,1.00
10.99s,19.92,199.41,0.00,179.49,1,9.50,120.00,0.06,120.00,0.00,11.40,17.94,19.92
11.31s,1.00,200.41,0.00,199.41,1,9.96,120.00,0.03,120.00,0.00,0.97,1.00,1.00
10.29s,20.92,221.33,0.00,200.41,1,10.00,120.00,0.06,120.00,0.00,11.93,18.96,20.92
11.84s,1.00,222.33,0.00,220.41,1,10.26,19.98,0.02,120.00,0.00,1.91,1.02,1.92
18.84s,21.45,243.77,0.00,222.33,1,10.26,20.41,0.93,120.00,0.96,13.09,19.48,21.45
12.05s,1.00,244.77,0.00,242.33,1,10.49,19.96,0.92,120.00,0.00,2.40,1.03,2.45
19.34s,21.91,266.69,0.00,244.81,0,10.50,20.95,1.45,120.00,0.97,13.83,19.95,21.88
12.57s,1.00,267.69,0.00,264.78,1,10.61,19.96,1.48,120.00,0.00,2.85,1.23,2.91
22.19s,22.21,289.90,0.00,267.71,0,10.61,21.23,1.91,120.00,1.03,14.48,20.23,22.18
14.39s,1.00,290.90,0.00,287.72,1,10.74,20.02,1.92,120.00,0.00,3.17,1.49,3.17
22.07s,22.44,313.34,0.00,290.92,0,10.73,21.45,2.17,120.00,1.01,14.87,20.45,22.42
13.79s,1.00,314.34,0.00,310.91,1,10.81,20.01,2.23,120.00,0.00,3.40,1.61,3.43
21.45s,22.56,336.90,0.00,314.37,0,10.84,21.60,2.43,120.00,0.98,15.18,20.59,22.53
13.18s,1.00,337.90,0.00,334.36,1,10.87,19.98,2.46,120.00,0.00,3.50,1.71,3.54
21.34s,22.68,360.57,0.00,337.91,0,10.90,21.70,2.54,120.00,0.99,15.32,20.72,22.67
13.41s,1.00,361.57,0.00,357.92,1,10.90,20.01,2.57,120.00,0.00,3.62,1.77,3.65
21.98s,22.73,384.31,0.00,361.58,0,10.93,21.78,2.65,120.00,1.00,15.47,20.78,22.73
12.89s,1.00,385.31,0.00,381.60,1,10.93,19.98,2.68,120.00,0.00,3.70,1.85,3.71
19.47s,22.79,408.10,0.00,385.31,0,10.96,21.82,2.71,120.00,0.95,15.56,20.87,22.79
12.65s,1.00,409.10,0.00,405.33,1,10.94,20.00,2.75,120.00,0.00,3.73,1.88,3.76
22.09s,22.85,431.95,0.00,409.10,0,10.94,21.88,2.76,120.00,1.02,15.67,20.88,22.85
11.77s,1.00,432.95,0.00,429.13,1,10.96,20.01,2.79,120.00,0.00,3.82,1.91,3.82
22.13s,22.91,455.86,0.00,432.97,0,11.00,21.91,2.82,120.00,1.02,15.73,20.92,22.89
13.06s,1.00,456.86,0.00,452.95,1,10.97,19.98,2.87,120.00,0.00,3.86,1.95,3.91
21.15s,22.91,479.77,0.00,456.86,1,11.01,21.91,2.91,120.00,1.03,15.85,20.94,22.91
11.41s,1.00,480.77,0.00,476.86,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
20.14s,22.91,503.68,0.00,480.77,1,11.01,21.94,2.95,120.00,0.97,15.85,20.98,22.91
11.82s,1.00,504.68,0.00,500.77,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
19.06s,22.91,527.59,0.00,504.68,1,11.02,21.91,2.91,120.00,0.97,15.81,20.98,22.91
11.80s,1.00,528.59,0.00,524.68,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
19.25s,22.91,551.50,0.00,528.59,1,11.00,21.92,2.91,120.00,0.97,15.81,20.98,22.91
11.38s,1.00,552.50,0.00,548.59,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
17.93s,22.91,575.41,0.00,552.50,1,11.01,21.94,2.95,120.00,0.97,15.81,20.98,22.91
10.98s,1.00,576.41,0.00,572.50,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
18.46s,22.91,599.32,0.00,576.41,1,11.02,21.93,2.93,120.00,0.98,15.83,20.98,22.91
12.01s,1.00,600.32,0.00,596.41,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
22.48s,22.91,623.23,0.00,600.32,1,11.02,21.91,2.91,120.00,0.98,15.83,20.98,22.91
11.79s,1.00,624.23,0.00,620.32,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
17.79s,22.91,647.14,0.00,624.23,1,11.02,21.93,2.91,120.00,0.98,15.83,20.98,22.91
10.93s,1.00,648.14,0.00,644.23,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
17.26s,22.91,671.05,0.00,648.14,1,11.01,21.94,2.95,120.00,0.97,15.81,20.98,22.91
11.57s,1.00,672.05,0.00,668.14,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
17.02s,22.91,694.96,0.00,672.05,1,11.02,21.91,2.91,120.00,0.97,15.81,20.98,22.91
11.04s,1.00,695.96,0.00,692.05,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
17.51s,22.91,718.87,0.00,695.96,1,11.00,21.92,2.91,120.00,0.97,15.81,20.98,22.91
11.84s,1.00,719.87,0.00,715.96,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
16.84s,22.91,742.78,0.00,719.87,1,10.99,21.92,2.91,120.00,0.98,15.83,20.98,22.91
11.84s,1.00,743.78,0.00,739.87,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
