time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
9.54s,6.97,6.97,0.00,0.00,0,5.00,120.00,0.06,120.00,0.00,1.94,5.01,6.97
15.25s,6.97,13.95,0.00,6.97,1,5.00,120.00,0.06,120.00,0.00,3.92,5.01,6.97
10.72s,1.08,15.02,0.00,13.95,0,5.00,120.00,0.06,120.00,0.00,0.00,0.10,1.07
12.65s,8.96,23.99,0.00,15.05,0,5.01,120.00,0.06,120.00,0.00,3.99,6.95,8.94
10.59s,1.03,25.01,0.00,23.99,0,5.01,120.00,0.06,120.00,0.00,1.00,0.03,1.02
15.01s,9.96,34.97,0.00,25.01,1,5.03,120.00,0.06,120.00,0.00,5.98,8.99,9.96
10.00s,1.00,35.97,0.00,34.97,1,5.00,120.00,0.06,120.00,0.00,0.96,1.00,1.00
10.72s,10.96,46.93,0.00,35.97,1,5.01,120.00,0.06,120.00,0.00,6.91,9.03,10.96
8.87s,1.00,47.93,0.00,46.93,1,5.48,120.00,0.03,120.00,0.00,0.97,1.00,1.00
10.95s,11.95,59.88,0.00,47.93,1,5.51,120.00,0.06,120.00,0.00,7.42,9.99,11.95
11.74s,1.00,60.88,0.00,59.88,1,5.98,120.00,0.05,120.00,0.00,0.97,1.00,1.00
11.91s,12.95,73.83,0.00,60.88,1,5.99,120.00,0.06,120.00,0.00,7.97,10.97,12.95
12.21s,1.00,74.83,0.00,73.83,1,6.51,120.00,0.04,120.00,0.00,0.97,1.00,1.00
11.63s,13.95,88.78,0.00,74.83,1,6.48,120.00,0.06,120.00,0.00,8.45,11.98,13.95
10.66s,1.00,89.78,0.00,88.78,1,6.97,120.00,0.05,120.00,0.00,0.97,1.00,1.00
12.78s,14.94,104.72,0.00,89.78,1,6.97,120.00,0.06,120.00,0.00,8.96,12.96,14.94
11.92s,1.00,105.72,0.00,104.72,1,7.53,120.00,0.06,120.00,0.00,0.95,1.00,1.00
12.26s,15.94,121.66,0.00,105.72,1,7.48,120.00,0.06,120.00,0.00,9.45,13.95,15.94
11.96s,1.00,122.66,0.00,121.66,1,7.99,120.00,0.06,120.00,0.00,0.97,1.00,1.00
11.29s,16.93,139.59,0.00,122.66,1,7.97,120.00,0.06,120.00,0.00,9.94,14.95,16.93
10.80s,1.00,140.59,0.00,139.59,1,8.47,120.00,0.06,120.00,0.00,0.97,1.00,1.00
12.13s,17.93,158.52,0.00,140.59,1,8.48,120.00,0.06,120.00,0.00,10.42,15.97,17.93
11.07s,1.00,159.52,0.00,158.52,1,8.97,120.00,0.06,120.00,0.00,0.97,1.00,1.00
11.11s,18.93,178.45,0.00,159.52,1,8.99,120.00,0.06,120.00,0.00,10.92,16.96,18.93
12.99s,1.00,179.45,0.00,178.45,1,9.49,120.00,0.06,120.00,0.00,0.97,1.00,1.00
11.64s,19.92,199.37,0.00,179.45,1,9.49,120.00,0.06,120.00,0.00,11.46,17.94,19.92
11.93s,1.00,200.37,0.00,199.37,1,9.96,120.00,0.03,120.00,0.00,0.97,1.00,1.00
11.33s,20.92,221.29,0.00,200.37,1,9.97,120.00,0.06,120.00,0.00,11.93,18.96,20.92
12.05s,1.00,222.29,0.00,220.37,1,10.26,19.99,0.01,120.00,0.00,1.91,1.02,1.92
18.00s,21.45,243.73,0.00,222.29,1,10.26,20.41,0.94,120.00,0.96,13.09,19.48,21.45
11.82s,1.00,244.73,0.00,242.29,1,10.49,19.96,0.92,120.00,0.00,2.40,1.03,2.45
20.10s,21.91,266.65,0.00,244.77,0,10.51,20.94,1.46,120.00,0.97,13.83,19.95,21.88
11.96s,1.00,267.65,0.00,264.74,1,10.61,19.96,1.48,120.00,0.00,2.85,1.23,2.91
20.02s,22.21,289.85,0.00,267.67,0,10.61,21.23,1.91,120.00,1.03,14.49,20.24,22.19
14.43s,1.00,290.85,0.00,287.65,1,10.76,19.99,1.94,120.00,0.00,3.18,1.50,3.20
20.41s,22.44,313.29,0.00,290.86,0,10.72,21.44,2.20,120.00,1.01,14.89,20.46,22.43
13.13s,1.00,314.29,0.00,310.89,1,10.81,19.98,2.20,120.00,0.00,3.37,1.60,3.41
21.44s,22.62,336.91,0.00,314.30,0,10.81,21.61,2.41,120.00,1.03,15.17,20.62,22.61
14.08s,1.00,337.91,0.00,334.31,1,10.89,19.97,2.44,120.00,0.00,3.59,1.75,3.61
20.08s,22.68,360.59,0.00,337.91,1,10.90,21.70,2.66,120.00,1.00,15.39,20.73,22.68
12.42s,1.00,361.59,0.00,357.91,1,10.93,20.00,2.62,120.00,0.00,3.63,1.84,3.68
22.11s,22.79,384.38,0.00,361.59,1,10.93,21.79,2.68,120.00,1.00,15.51,20.83,22.79
12.36s,1.00,385.38,0.00,381.59,1,10.96,19.97,2.72,120.00,0.00,3.74,1.90,3.79
21.47s,22.79,408.17,0.00,385.38,1,10.94,21.81,2.79,120.00,0.96,15.63,20.88,22.79
11.01s,1.00,409.17,0.00,405.38,1,10.97,19.98,2.82,120.00,0.00,3.74,1.90,3.79
20.80s,22.85,432.02,0.00,409.17,1,10.99,21.86,2.79,120.00,0.96,15.66,20.93,22.85
12.76s,1.00,433.02,0.00,429.17,1,10.97,19.97,2.84,120.00,0.00,3.83,1.93,3.85
22.51s,22.85,455.88,0.00,433.04,0,10.97,21.89,2.85,120.00,0.97,15.74,20.92,22.84
12.13s,1.00,456.88,0.00,453.03,1,10.96,19.96,2.89,120.00,0.00,3.83,1.92,3.85
20.44s,22.91,479.79,0.00,456.88,1,11.00,21.91,2.91,120.00,1.02,15.76,20.94,22.91
11.22s,1.00,480.79,0.00,476.88,1,10.99,19.95,2.86,120.00,0.00,3.86,1.96,3.91
22.05s,22.91,503.70,0.00,480.79,1,10.99,21.90,2.91,120.00,1.03,15.86,20.94,22.91
10.92s,1.00,504.70,0.00,500.79,1,10.99,19.98,2.93,120.00,0.00,3.86,2.01,3.91
18.08s,22.91,527.61,0.00,504.70,1,11.02,21.91,2.91,120.00,0.97,15.81,20.98,22.91
11.19s,1.00,528.61,0.00,524.70,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
17.78s,22.91,551.52,0.00,528.61,1,11.01,21.91,2.91,120.00,0.97,15.83,20.98,22.91
10.93s,1.00,552.52,0.00,548.61,1,10.99,19.98,2.93,120.00,0.00,3.86,1.96,3.91
17.73s,22.91,575.43,0.00,552.53,0,11.00,21.92,2.91,120.00,0.97,15.81,20.97,22.89
11.95s,1.00,576.43,0.00,572.55,1,10.99,19.98,2.93,120.00,0.00,3.84,1.94,3.88
22.35s,22.97,599.40,0.00,576.44,0,11.00,21.94,2.88,120.00,1.03,15.85,20.98,22.96
13.61s,1.00,600.40,0.00,596.46,1,10.99,20.04,2.91,120.00,0.00,3.93,1.97,3.93
20.90s,22.97,623.36,0.00,600.40,0,11.02,21.96,2.93,120.00,1.03,15.91,20.99,22.96
11.40s,1.00,624.36,0.00,620.41,1,11.03,19.98,2.99,120.00,0.00,3.94,1.98,3.96
18.31s,22.97,647.33,0.00,624.37,0,11.03,21.94,2.96,120.00,1.04,15.93,20.99,22.97
12.44s,1.00,648.33,0.00,644.37,1,11.04,20.00,2.97,120.00,0.00,3.94,2.04,3.96
17.81s,22.97,671.30,0.00,648.33,1,11.03,21.97,2.96,120.00,1.03,15.91,20.99,22.97
12.58s,1.00,672.30,0.00,668.34,1,11.01,19.96,2.99,120.00,0.00,3.94,1.98,3.96
19.38s,22.97,695.27,0.00,672.30,0,11.03,21.95,3.00,120.00,1.04,15.93,20.99,22.97
13.27s,1.00,696.27,0.00,692.31,1,10.99,19.99,2.98,120.00,0.00,3.94,1.98,3.96
20.45s,22.97,719.24,0.00,696.27,1,11.04,21.97,2.96,120.00,0.98,15.93,20.99,22.97
11.90s,1.00,720.24,0.00,716.27,1,11.01,19.96,2.99,120.00,0.00,3.94,1.98,3.97
18.52s,22.97,743.21,0.00,720.24,1,11.01,21.96,2.97,120.00,1.03,15.91,20.99,22.97
11.47s,1.00,744.21,0.00,740.24,1,11.01,19.96,3.01,120.00,0.00,3.94,1.98,3.97
19.70s,22.97,767.18,0.00,744.21,1,11.03,21.95,2.97,120.00,1.03,15.92,20.99,22.97
11.15s,1.00,768.18,0.00,764.21,1,11.01,19.96,3.01,120.00,0.00,3.94,1.98,3.97
19.74s,22.97,791.15,0.00,768.18,1,11.00,21.94,2.97,120.00,1.03,15.92,20.99,22.97
11.24s,1.00,792.15,0.00,788.18,1,11.01,19.96,3.01,120.00,0.00,3.94,1.98,3.97
18.70s,22.97,815.11,0.00,792.15,1,11.03,21.95,2.97,120.00,1.03,15.92,20.99,22.97
11.05s,1.00,816.11,0.00,812.15,1,11.01,19.96,3.01,120.00,0.00,3.94,1.98,3.97
19.30s,22.97,839.08,0.00,816.11,1,11.03,21.95,3.00,120.00,1.03,15.92,20.99,22.97
11.05s,1.00,840.08,0.00,836.11,1,11.01,19.96,3.01,120.00,0.00,3.94,1.98,3.97
19.66s,22.97,863.05,0.00,840.08,1,10.99,21.96,2.97,120.00,1.04,15.93,20.99,22.97
