time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
12.50s,3.39,510.65,0.00,507.26,0,7.15,119.95,0.04,119.94
13.78s,14.30,524.95,0.00,510.65,1,7.15,119.95,0.06,119.94
12.60s,8.15,533.10,0.00,524.95,1,7.99,119.94,0.03,119.95
10.24s,8.99,542.09,0.00,533.10,1,8.04,119.95,0.06,119.94
10.56s,9.04,551.14,0.00,542.09,1,7.87,119.95,0.04,119.94
10.98s,7.87,559.00,0.00,551.14,1,8.11,119.95,0.04,119.94
10.63s,9.11,568.11,0.00,559.00,1,6.83,119.95,0.04,119.94
11.12s,3.42,571.53,0.00,568.11,1,7.01,119.95,0.05,119.94
8.95s,3.51,575.04,0.00,571.53,0,6.51,119.95,0.06,119.94
10.94s,6.51,581.55,0.00,575.04,0,5.67,119.95,0.06,119.94
11.15s,2.83,584.39,0.00,581.55,0,5.00,119.94,0.04,119.94
9.83s,10.00,594.39,0.00,584.39,1,5.00,119.94,0.04,119.94
12.90s,2.50,596.89,0.00,594.39,1,5.00,119.94,0.04,119.94
8.52s,10.00,606.89,0.00,596.89,1,5.01,119.95,0.03,119.94
11.11s,2.50,609.39,0.00,606.89,1,5.62,119.94,0.04,119.94
9.58s,6.62,616.02,0.00,609.39,1,5.62,119.94,0.04,119.94
10.28s,5.62,621.64,0.00,616.02,1,5.04,119.94,0.06,119.94
9.87s,2.52,624.16,0.00,621.64,1,5.01,119.94,0.06,119.94
8.68s,10.02,634.18,0.00,624.16,1,5.00,119.94,0.04,119.94
